Batteriespannung;Luftdruck;CO²-Wert;Helligkeit;Luftfeuchtigkeit;Temperatur(Durchschnitt);Gefühlte temperatur;Windgeschwindigkeit;Temperatur(DHT);Temperatur(DHT-KORRIGIERT);Temperatur(BMP)
8,00;1031,12;513,00;607,00;58,50;20,24;25,30;0,00;25,20;17,76;22,72
8,00;1031,07;561,00;683,00;58,50;20,24;25,30;0,00;25,20;17,76;22,72
8,00;1031,04;579,00;691,00;58,50;20,24;25,30;0,00;25,20;17,76;22,73
8,00;1031,04;536,00;646,00;58,50;20,25;25,30;0,00;25,20;17,76;22,74
8,00;1031,04;506,00;615,00;58,50;20,25;25,30;0,00;25,20;17,76;22,75
8,00;1031,11;464,00;600,00;58,50;20,26;25,30;0,00;25,20;17,76;22,75
8,00;1031,10;527,00;672,00;58,50;20,25;25,30;0,00;25,20;17,76;22,75
8,00;1031,12;484,00;668,00;58,50;20,26;25,30;0,00;25,20;17,76;22,76
8,00;1031,10;488,00;688,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1031,02;522,00;674,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1030,97;642,00;691,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1031,03;450,00;683,00; NAN; NAN; NAN;0,00; NAN; NAN;22,80
8,00;1031,23;423,00;466,00;58,30;20,29;25,30;0,00;25,20;17,76;22,82
8,00;1031,04;373,00;446,00;58,30;20,29;25,30;0,00;25,20;17,76;22,81
8,00;1031,08;411,00;498,00;58,30;20,29;25,30;0,00;25,20;17,76;22,82
8,00;1031,05;359,00;467,00;58,30;20,30;25,30;0,00;25,20;17,76;22,84
8,00;1031,06;464,00;463,00;58,30;20,36;25,41;0,00;25,30;17,86;22,86
8,00;1031,08;392,00;581,00;58,30;20,37;25,41;0,00;25,30;17,86;22,87
8,00;1031,04;494,00;501,00;58,30;20,37;25,41;0,00;25,30;17,86;22,88
8,00;1031,08;482,00;435,00;58,30;20,38;25,41;0,00;25,30;17,86;22,89
8,00;1031,04;542,00;586,00;58,40;20,37;25,41;0,00;25,30;17,86;22,88
8,00;1031,02;516,00;436,00;58,40;20,38;25,41;0,00;25,30;17,86;22,90
8,00;1031,04;450,00;421,00;58,40;20,39;25,41;0,00;25,30;17,86;22,92
8,00;1031,01;445,00;427,00;58,40;20,40;25,41;0,00;25,30;17,86;22,94
8,00;1031,04;409,00;429,00;58,60;20,41;25,42;0,00;25,30;17,86;22,96
8,00;1031,02;450,00;438,00;58,60;20,40;25,42;0,00;25,30;17,86;22,94
8,00;1031,02;388,00;439,00;58,60;20,41;25,42;0,00;25,30;17,86;22,96
8,00;1031,00;434,00;446,00;58,60;20,41;25,42;0,00;25,30;17,86;22,97
8,00;1031,00;402,00;473,00;58,70;20,43;25,42;0,00;25,30;17,86;22,99
8,00;1031,00;415,00;498,00;58,70;20,44;25,42;0,00;25,30;17,86;23,01
8,00;1030,99;617,00;500,00;58,70;20,44;25,42;0,00;25,30;17,86;23,03
8,00;1031,07;599,00;503,00;58,70;20,47;25,42;0,00;25,30;17,86;23,07
8,00;1030,97;550,00;421,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1030,94;552,00;425,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1031,03;547,00;414,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1031,00;482,00;280,00;58,80;20,47;25,42;0,00;25,30;17,86;23,07
8,00;1030,98;421,00;274,00;58,90;20,51;25,53;0,00;25,40;17,96;23,06
8,00;1031,01;426,00;402,00;58,90;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1031,02;408,00;390,00;58,90;20,51;25,53;0,00;25,40;17,96;23,05
8,00;1031,08;359,00;309,00;58,90;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1030,99;333,00;288,00;58,80;20,52;25,53;0,00;25,40;17,96;23,07
8,00;1030,97;328,00;279,00;58,80;20,51;25,53;0,00;25,40;17,96;23,06
8,00;1031,02;322,00;267,00;58,80;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1030,97;313,00;261,00;58,80;20,51;25,53;0,00;25,40;17,96;23,06
8,00;1031,02;319,00;268,00;58,80;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1031,09;322,00;266,00;58,80;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1030,99;317,00;263,00;58,80;20,52;25,53;0,00;25,40;17,96;23,07
8,00;1031,09;319,00;267,00;58,80;20,53;25,53;0,00;25,40;17,96;23,09
8,00;1031,03;381,00;430,00;58,70;20,53;25,53;0,00;25,40;17,96;23,09
8,00;1031,04;399,00;432,00;58,70;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1031,11;398,00;425,00;58,70;20,53;25,53;0,00;25,40;17,96;23,10
8,00;1031,02;399,00;400,00;58,70;20,53;25,53;0,00;25,40;17,96;23,10
8,00;1031,06;359,00;274,00;58,50;20,59;25,63;0,00;25,50;18,06;23,11
8,00;1031,06;338,00;262,00;58,50;20,58;25,63;0,00;25,50;18,06;23,10
8,00;1031,01;333,00;261,00;58,50;20,58;25,63;0,00;25,50;18,06;23,09
8,00;1031,06;331,00;256,00;58,30;20,57;25,63;0,00;25,50;18,06;23,08
8,00;1031,02;328,00;263,00;58,30;20,58;25,63;0,00;25,50;18,06;23,09
8,00;1031,07;325,00;259,00;58,30;20,57;25,63;0,00;25,50;18,06;23,09
8,00;1030,97;317,00;263,00;58,30;20,57;25,63;0,00;25,50;18,06;23,08
8,00;1030,99;321,00;250,00;58,20;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1030,97;317,00;250,00;58,20;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1030,99;314,00;251,00;58,20;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,05;313,00;252,00;58,20;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,10;319,00;256,00;58,20;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,00;316,00;250,00;58,20;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1031,03;319,00;259,00;58,20;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,03;312,00;258,00;58,20;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,02;420,00;564,00;58,00;20,57;25,62;0,00;25,50;18,06;23,09
8,00;1031,04;614,00;975,00;58,00;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1031,01;706,00;1001,00;58,00;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1031,03;741,00;1009,00;58,00;20,57;25,62;0,00;25,50;18,06;23,08
8,00;1031,06;738,00;1014,00;57,80;20,62;25,72;0,00;25,60;18,16;23,08
8,00;1031,05;751,00;1016,00;57,80;20,62;25,72;0,00;25,60;18,16;23,08
8,00;1031,07;757,00;1017,00;57,80;20,62;25,72;0,00;25,60;18,16;23,08
8,00;1030,95;763,00;1018,00;57,80;20,62;25,72;0,00;25,60;18,16;23,07
8,00;1031,02;747,00;1019,00;57,70;20,61;25,72;0,00;25,60;18,16;23,06
8,00;1031,10;759,00;1019,00;57,70;20,62;25,72;0,00;25,60;18,16;23,07
8,00;1031,05;764,00;1020,00;57,70;20,61;25,72;0,00;25,60;18,16;23,06
8,00;1031,06;766,00;1020,00;57,70;20,61;25,72;0,00;25,60;18,16;23,06
8,00;1031,10;743,00;1020,00;57,60;20,61;25,72;0,00;25,60;18,16;23,05
8,00;1031,00;763,00;1020,00;57,60;20,59;25,72;0,00;25,60;18,16;23,03
8,00;1031,18;764,00;1021,00;57,60;20,61;25,72;0,00;25,60;18,16;23,05
8,00;1031,06;766,00;1021,00;57,60;20,60;25,72;0,00;25,60;18,16;23,04
8,00;1031,01;748,00;1021,00;57,50;20,59;25,72;0,00;25,60;18,16;23,03
8,00;1031,07;765,00;1021,00;57,50;20,60;25,72;0,00;25,60;18,16;23,03
8,00;1031,11;765,00;1021,00;57,50;20,60;25,72;0,00;25,60;18,16;23,04
8,00;1031,07;766,00;1021,00;57,50;20,60;25,72;0,00;25,60;18,16;23,03
8,00;1031,06;749,00;1021,00;57,30;20,60;25,71;0,00;25,60;18,16;23,04
8,00;1031,10;761,00;1021,00;57,30;20,60;25,71;0,00;25,60;18,16;23,04
8,00;1031,06;768,00;1021,00;57,30;20,59;25,71;0,00;25,60;18,16;23,03
8,00;1031,10;766,00;1021,00;57,30;20,59;25,71;0,00;25,60;18,16;23,03
8,00;1031,07;752,00;1022,00;57,20;20,59;25,71;0,00;25,60;18,16;23,02
8,00;1031,05;765,00;1022,00;57,20;20,58;25,71;0,00;25,60;18,16;23,00
8,00;1031,03;765,00;1022,00;57,20;20,59;25,71;0,00;25,60;18,16;23,01
8,00;1031,04;764,00;1022,00;57,20;20,58;25,71;0,00;25,60;18,16;23,00
8,00;1031,08;750,00;1022,00;57,10;20,64;25,82;0,00;25,70;18,26;23,01
8,00;1031,06;766,00;1022,00;57,10;20,63;25,82;0,00;25,70;18,26;23,00
8,00;1031,05;766,00;1022,00;57,10;20,63;25,82;0,00;25,70;18,26;23,00
8,00;1031,06;769,00;1022,00;57,10;20,63;25,82;0,00;25,70;18,26;23,00
8,00;1031,09;751,00;1022,00;57,20;20,63;25,82;0,00;25,70;18,26;22,99
8,00;1031,09;766,00;1022,00;57,20;20,62;25,82;0,00;25,70;18,26;22,99
8,00;1031,07;765,00;1022,00;57,20;20,62;25,82;0,00;25,70;18,26;22,99
8,00;1031,13;766,00;1022,00;57,20;20,62;25,82;0,00;25,70;18,26;22,98
8,00;1031,02;752,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,96
8,00;1031,07;763,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,96
8,00;1031,06;770,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,95
8,00;1031,14;767,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,96
8,00;1031,07;753,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,96
8,00;1031,28;765,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,96
8,00;1031,06;765,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,95
8,00;1031,09;767,00;1022,00;57,20;20,61;25,82;0,00;25,70;18,26;22,95
8,00;1031,13;755,00;1022,00;57,20;20,66;25,93;0,00;25,80;18,36;22,95
8,00;1031,10;764,00;1022,00;57,20;20,66;25,93;0,00;25,80;18,36;22,95
8,00;1031,05;770,00;1022,00;57,20;20,65;25,93;0,00;25,80;18,36;22,94
8,00;1031,06;767,00;1022,00;57,20;20,65;25,93;0,00;25,80;18,36;22,94
8,00;1031,10;755,00;1022,00;57,20;20,65;25,93;0,00;25,80;18,36;22,93
8,00;1031,05;757,00;1022,00;57,20;20,65;25,93;0,00;25,80;18,36;22,93
8,00;1031,08;766,00;1022,00;57,20;20,65;25,93;0,00;25,80;18,36;22,93
8,00;1031,08;755,00;1022,00;57,00;20,64;25,92;0,00;25,80;18,36;22,93
8,00;1031,05;764,00;1022,00;57,00;20,65;25,92;0,00;25,80;18,36;22,93
8,00;1031,02;770,00;1022,00;57,00;20,64;25,92;0,00;25,80;18,36;22,93
8,00;1030,97;768,00;1022,00;57,00;20,64;25,92;0,00;25,80;18,36;22,93
8,00;1031,02;756,00;1022,00;57,00;20,63;25,92;0,00;25,80;18,36;22,91
8,00;1031,04;763,00;1022,00;57,00;20,63;25,92;0,00;25,80;18,36;22,91
8,00;1031,04;766,00;1022,00;57,00;20,63;25,92;0,00;25,80;18,36;22,91
8,00;1031,03;771,00;1022,00;57,00;20,63;25,92;0,00;25,80;18,36;22,91
8,00;1031,05;754,00;1022,00;56,90;20,68;26,03;0,00;25,90;18,46;22,90
8,00;1031,03;766,00;1022,00;56,90;20,68;26,03;0,00;25,90;18,46;22,90
8,00;1031,00;769,00;1022,00;56,90;20,68;26,03;0,00;25,90;18,46;22,90
8,00;1031,10;771,00;1022,00;56,90;20,68;26,03;0,00;25,90;18,46;22,90
8,00;1031,15;756,00;1022,00;56,80;20,67;26,03;0,00;25,90;18,46;22,88
8,00;1031,12;762,00;1022,00;56,80;20,68;26,03;0,00;25,90;18,46;22,90
8,00;1031,06;767,00;1022,00;56,80;20,68;26,03;0,00;25,90;18,46;22,89
8,00;1031,03;770,00;1022,00;56,80;20,67;26,03;0,00;25,90;18,46;22,88
