BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
29,96;44,68;1001,33;29,07;999,52;28,90;30,39;56,70;30,00;29,48;1000,43;50,69;19,00;60,00
29,96;44,68;1001,31;29,07;999,58;28,90;30,39;56,70;30,00;29,48;1000,45;50,69;19,00;60,00
29,97;44,70;1001,36;29,06;999,52;28,90;30,38;56,60;30,00;29,48;1000,44;50,65;18,00;60,00
29,97;44,66;1001,30;29,07;999,54;28,90;30,38;56,60;30,00;29,48;1000,42;50,63;24,00;60,00
29,96;44,64;1001,38;29,04;999,48;29,00;30,53;56,60;30,00;29,50;1000,43;50,62;18,00;60,00
29,97;44,69;1001,34;29,05;999,49;29,00;30,53;56,60;30,00;29,50;1000,42;50,65;19,00;60,00
29,97;44,76;1001,36;29,05;999,50;29,00;30,53;56,60;30,00;29,50;1000,43;50,68;19,00;60,00
