BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
40,95;20,48;1005,02;37,93;1001,71;34,30;36,11;40,60;38,00;37,80;1003,36;30,54;4,00;59,00
40,91;20,53;1004,96;37,89;1001,74;34,30;36,11;40,60;38,00;37,78;1003,35;30,57;3,00;59,00
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
41,01;20,64;1005,03;38,07;1001,73;34,30;36,22;41,00;38,00;37,84;1003,38;30,82;3,00;61,00
41,05;20,66;1004,97;38,12;1001,70;34,30;36,22;41,00;38,00;37,87;1003,34;30,83;3,00;58,00
41,10;20,61;1004,94;38,15;1001,69;34,30;36,28;41,20;38,00;37,89;1003,32;30,91;4,00;61,00
41,12;20,53;1004,97;38,17;1001,68;34,30;36,28;41,20;38,00;37,90;1003,33;30,87;3,00;59,00
41,11;20,51;1004,97;38,24;1001,69;34,30;36,31;41,30;38,00;37,91;1003,33;30,90;3,00;60,00
41,00;20,47;1004,93;38,12;1001,69;34,30;36,31;41,30;38,00;37,86;1003,31;30,88;3,00;59,00
41,04;20,41;1004,99;38,04;1001,67;34,30;36,28;41,20;38,00;37,84;1003,33;30,81;3,00;60,00
41,10;20,46;1005,00;38,07;1001,67;34,30;36,28;41,20;38,00;37,87;1003,33;30,83;4,00;58,00
41,11;20,43;1005,02;38,07;1001,66;34,30;36,28;41,20;38,00;37,87;1003,34;30,81;3,00;57,00
40,98;20,30;1004,94;38,02;1001,77;34,30;36,28;41,20;38,00;37,82;1003,36;30,75;3,00;61,00
40,94;20,22;1004,96;38,03;1001,84;34,20;36,07;41,10;38,00;37,79;1003,40;30,66;3,00;59,00
40,98;20,20;1004,95;38,04;1001,80;34,20;36,07;41,10;38,00;37,80;1003,37;30,65;3,00;59,00
41,05;20,24;1004,93;38,10;1001,80;34,30;36,20;40,90;38,00;37,86;1003,37;30,57;3,00;65,00
40,95;20,13;1004,92;38,03;1001,75;34,30;36,20;40,90;38,00;37,82;1003,33;30,51;4,00;57,00
