BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
29,83;48,73;962,21;28,64;960,57;29,20;31,10;58,30;29,25;29,23;961,39;53,52;85,00;60,00
29,83;48,72;962,24;28,65;960,58;29,20;31,10;58,30;29,25;29,23;961,41;53,51;85,00;60,00
29,84;48,36;962,18;28,64;960,51;29,30;31,37;58,90;29,25;29,26;961,34;53,63;86,00;60,00
29,85;49,43;962,23;28,66;960,58;29,30;31,37;58,90;29,25;29,27;961,40;54,16;86,00;60,00
29,87;49,54;962,20;28,68;960,57;29,30;31,43;59,30;29,25;29,27;961,38;54,42;86,00;60,00
29,87;49,52;962,24;28,68;960,58;29,30;31,43;59,30;29,25;29,27;961,41;54,41;85,00;60,00
29,87;49,21;962,20;28,69;960,57;29,30;31,63;60,50;29,25;29,28;961,38;54,86;85,00;60,00
29,88;49,23;962,21;28,68;960,60;29,30;31,63;60,50;29,25;29,28;961,41;54,86;83,00;61,00
29,88;48,91;962,17;28,68;960,57;29,30;31,86;61,80;29,25;29,28;961,37;55,35;83,00;60,00
29,90;48,43;962,23;28,70;960,58;29,30;31,86;61,80;29,25;29,29;961,41;55,11;83,00;60,00
29,90;48,13;962,21;28,70;960,55;29,30;31,89;62,00;29,25;29,29;961,38;55,07;83,00;60,00
29,90;47,92;962,19;28,69;960,46;29,30;31,89;62,00;29,25;29,29;961,33;54,96;83,00;60,00
29,91;47,78;962,19;28,71;960,54;29,30;31,89;62,00;29,25;29,29;961,37;54,89;83,00;60,00
29,91;47,92;962,19;28,69;960,50;29,30;31,89;62,00;29,25;29,29;961,34;54,96;84,00;60,00
29,89;48,49;962,23;28,71;960,60;29,30;31,77;61,30;29,25;29,29;961,41;54,90;120,00;60,00
29,91;48,47;962,19;28,69;960,49;29,30;31,77;61,30;29,25;29,29;961,34;54,89;121,00;60,00
29,91;48,48;962,21;28,70;960,49;29,30;31,70;60,90;29,25;29,29;961,35;54,69;91,00;60,00
29,92;48,21;962,22;28,72;960,57;29,30;31,70;60,90;29,25;29,30;961,40;54,56;97,00;60,00
29,92;47,86;962,21;28,72;960,57;29,30;31,62;60,40;29,25;29,30;961,39;54,13;132,00;60,00
29,92;47,48;962,25;28,71;960,57;29,30;31,62;60,40;29,25;29,29;961,41;53,94;123,00;60,00
29,93;47,33;962,19;28,72;960,58;29,30;31,48;59,60;29,25;29,30;961,39;53,47;107,00;60,00
29,93;47,23;962,23;28,72;960,56;29,30;31,48;59,60;29,25;29,30;961,39;53,42;126,00;60,00
29,94;47,24;962,23;28,73;960,61;29,30;31,39;59,00;29,25;29,31;961,42;53,12;144,00;60,00
29,94;47,27;962,22;28,72;960,44;29,30;31,39;59,00;29,25;29,30;961,33;53,13;107,00;60,00
29,95;47,25;962,21;28,73;960,55;29,30;31,32;58,60;29,25;29,31;961,38;52,92;99,00;60,00
29,95;47,08;962,20;28,73;960,54;29,30;31,32;58,60;29,25;29,31;961,37;52,84;103,00;60,00
29,95;46,93;962,23;28,72;960,50;29,40;31,44;58,30;29,25;29,33;961,37;52,61;84,00;60,00
29,94;47,24;962,18;28,71;960,51;29,40;31,44;58,30;29,25;29,33;961,34;52,77;84,00;60,00
29,94;47,50;962,21;28,73;960,56;29,40;31,41;58,10;29,25;29,33;961,39;52,80;84,00;60,00
29,96;47,43;962,17;28,73;960,53;29,40;31,41;58,10;29,25;29,33;961,35;52,76;84,00;60,00
29,95;47,45;962,22;28,72;960,51;29,40;31,39;58,00;29,50;29,39;961,37;52,72;84,00;60,00
29,96;47,44;962,18;28,73;960,57;29,40;31,39;58,00;29,50;29,40;961,38;52,72;84,00;60,00
29,96;47,31;962,19;28,74;960,58;29,40;31,39;58,00;29,50;29,40;961,38;52,66;84,00;60,00
29,96;47,08;962,19;28,72;960,47;29,40;31,39;58,00;29,50;29,40;961,33;52,54;84,00;60,00
29,96;46,96;962,25;28,73;960,59;29,40;31,39;58,00;29,50;29,40;961,42;52,48;85,00;60,00
29,97;46,86;962,23;28,73;960,68;29,40;31,39;58,00;29,50;29,40;961,46;52,43;84,00;60,00
29,97;46,79;962,23;28,73;960,55;29,40;31,37;57,90;29,50;29,40;961,39;52,35;85,00;60,00
29,97;46,68;962,18;28,73;960,63;29,40;31,37;57,90;29,50;29,40;961,40;52,29;85,00;60,00
29,97;47,01;962,19;28,73;960,56;29,40;31,34;57,70;29,50;29,40;961,37;52,35;84,00;59,00
29,97;47,89;962,20;28,74;960,61;29,40;31,34;57,70;29,50;29,40;961,41;52,80;85,00;60,00
29,98;48,60;962,19;28,75;960,51;29,40;31,33;57,60;29,50;29,41;961,35;53,10;85,00;60,00
29,98;48,79;962,22;28,75;960,57;29,40;31,33;57,60;29,50;29,41;961,40;53,20;85,00;60,00
29,98;48,79;962,21;28,74;960,50;29,40;31,41;58,10;29,50;29,41;961,35;53,44;85,00;60,00
29,98;48,56;962,22;28,74;960,54;29,40;31,41;58,10;29,50;29,41;961,38;53,33;85,00;60,00
