BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
 NAN; NAN; NAN;29,63;960,47;30,90;33,01;52,80;30,25; NAN; NAN; NAN;27,00;60,00
30,93;42,98;962,12;29,62;960,40;30,90;33,01;52,80;30,25;30,43;961,26;47,89;27,00;60,00
30,93;42,76;962,09;29,62;960,41;30,90;33,01;52,80;30,25;30,43;961,25;47,78;27,00;60,00
30,94;42,46;962,13;29,62;960,35;30,90;33,01;52,80;30,25;30,43;961,24;47,63;28,00;60,00
30,95;42,37;962,12;29,63;960,38;30,90;33,07;53,10;30,25;30,43;961,25;47,74;28,00;60,00
30,95;42,20;962,12;29,64;960,43;30,90;33,07;53,10;30,25;30,43;961,28;47,65;27,00;60,00
30,95;42,12;962,12;29,64;960,39;30,90;33,07;53,10;30,25;30,43;961,26;47,61;27,00;60,00
30,96;42,02;962,16;29,66;960,43;30,90;33,07;53,10;30,25;30,44;961,29;47,56;28,00;60,00
30,96;41,94;962,12;29,65;960,41;30,90;33,03;52,90;30,25;30,44;961,27;47,42;28,00;60,00
30,96;41,86;962,11;29,65;960,36;30,90;33,03;52,90;30,25;30,44;961,23;47,38;27,00;60,00
30,97;41,81;962,14;29,67;960,44;30,90;32,99;52,70;30,25;30,45;961,29;47,25;28,00;60,00
30,96;41,72;962,13;29,67;960,41;30,90;32,99;52,70;30,25;30,44;961,27;47,21;28,00;60,00
30,97;41,67;962,14;29,67;960,44;30,90;32,95;52,50;30,25;30,45;961,29;47,09;27,00;60,00
30,97;41,70;962,09;29,67;960,41;30,90;32,95;52,50;30,25;30,45;961,25;47,10;27,00;60,00
30,98;41,79;962,15;29,67;960,40;30,90;32,93;52,40;30,25;30,45;961,27;47,09;28,00;60,00
30,99;42,16;962,11;29,68;960,37;30,90;32,93;52,40;30,25;30,45;961,24;47,28;27,00;60,00
30,99;42,34;962,16;29,67;960,32;30,90;32,91;52,30;30,25;30,45;961,24;47,32;27,00;60,00
30,99;42,25;962,13;29,70;960,40;30,90;32,91;52,30;30,25;30,46;961,27;47,28;27,00;60,00
30,99;42,27;962,11;29,68;960,38;30,90;32,89;52,20;30,25;30,46;961,24;47,24;28,00;59,00
30,99;42,68;962,13;29,68;960,42;30,90;32,89;52,20;30,25;30,46;961,27;47,44;27,00;60,00
30,99;42,91;962,13;29,67;960,39;30,90;32,89;52,20;30,25;30,45;961,26;47,56;27,00;60,00
31,00;43,15;962,13;29,69;960,41;30,90;32,89;52,20;30,25;30,46;961,27;47,67;27,00;60,00
31,00;43,21;962,11;29,69;960,41;30,90;32,91;52,30;30,25;30,46;961,26;47,75;27,00;60,00
31,00;43,17;962,10;29,71;960,41;30,90;32,91;52,30;30,25;30,47;961,25;47,74;28,00;60,00
31,01;43,04;962,12;29,70;960,35;30,90;32,95;52,50;30,25;30,46;961,24;47,77;27,00;60,00
31,01;42,99;962,14;29,70;960,39;30,90;32,95;52,50;30,25;30,47;961,26;47,75;27,00;60,00
31,01;42,90;962,11;29,70;960,41;30,90;32,95;52,50;30,25;30,47;961,26;47,70;28,00;60,00
31,01;42,81;962,17;29,71;960,39;30,90;32,95;52,50;30,25;30,47;961,28;47,65;27,00;60,00
