BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
 NAN; NAN; NAN;28,79;963,57;29,70;31,20;53,80;28,75; NAN; NAN; NAN;100,00;60,00
30,05;41,37;965,00;28,79;963,58;29,70;31,20;53,80;28,75;29,32;964,29;47,59;99,00;60,00
30,07;41,40;965,07;28,79;963,60;29,80;31,14;52,50;28,75;29,35;964,34;46,95;100,00;60,00
30,08;41,32;965,00;28,80;963,62;29,80;31,14;52,50;28,75;29,36;964,31;46,91;100,00;60,00
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
 NAN; NAN; NAN;28,79;963,57;29,80;31,13;52,40;28,75; NAN; NAN; NAN;99,00;60,00
30,08;40,80;965,01;28,79;963,59;29,80;31,13;52,40;28,75;29,36;964,30;46,60;99,00;60,00
30,08;40,75;965,04;28,79;963,57;29,70;30,93;52,10;28,75;29,33;964,30;46,43;100,00;60,00
30,09;40,61;965,03;28,80;963,57;29,70;30,93;52,10;28,75;29,33;964,30;46,35;100,00;60,00
30,09;40,54;965,06;28,80;963,54;29,80;31,03;51,80;28,75;29,36;964,30;46,17;100,00;60,00
30,09;40,45;965,04;28,80;963,61;29,80;31,03;51,80;28,75;29,36;964,33;46,12;100,00;60,00
30,09;40,40;965,08;28,81;963,58;29,80;31,00;51,60;28,75;29,36;964,33;46,00;99,00;60,00
30,10;40,35;965,06;28,82;963,64;29,80;31,00;51,60;28,75;29,37;964,35;45,97;99,00;60,00
30,10;40,30;965,05;28,82;963,54;29,70;30,82;51,40;28,75;29,34;964,29;45,85;100,00;60,00
30,10;40,20;965,03;28,83;963,64;29,70;30,82;51,40;28,75;29,34;964,33;45,80;101,00;60,00
30,11;40,18;965,02;28,81;963,55;29,80;30,95;51,30;28,75;29,37;964,29;45,74;99,00;59,00
30,10;40,15;965,05;28,83;963,60;29,80;30,95;51,30;28,75;29,37;964,33;45,73;144,00;60,00
