BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
34,64;34,27;96,23;33,86;95,68;31,90;35,07;53,60;30,00;32,60;95,95;43,93;100,00;62,00
34,78;35,85;96,23;34,39;95,78;31,90;35,07;53,60;33,25;33,58;96,01;44,72;100,00;60,00
34,84;36,64;96,23;34,45;95,78;32,10;35,15;52,40;33,25;33,66;96,00;44,52;100,00;60,00
34,85;37,31;96,23;35,23;95,96;32,10;35,15;52,40;33,25;33,86;96,09;44,85;99,00;60,00
34,71;36,82;96,22;34,98;95,94;32,20;35,56;53,20;33,25;33,78;96,08;45,01;99,00;60,00
34,74;35,65;96,24;34,22;95,77;32,20;35,56;53,20;33,25;33,60;96,00;44,43;100,00;60,00
34,76;35,40;96,22;34,95;95,94;32,20;35,73;53,80;33,25;33,79;96,08;44,60;100,00;59,00
34,88;35,21;96,24;34,30;95,76;32,20;35,73;53,80;33,25;33,66;96,00;44,51;100,00;60,00
35,03;36,19;96,24;34,46;95,77;32,20;35,56;53,20;33,25;33,73;96,00;44,69;100,00;59,00
35,09;35,49;96,24;34,48;95,77;32,20;35,56;53,20;33,25;33,75;96,01;44,35;100,00;61,00
35,17;34,28;96,24;34,52;95,77;32,40;36,03;53,40;33,25;33,84;96,00;43,84;100,00;59,00
35,28;33,94;96,24;34,62;95,76;32,40;36,03;53,40;33,25;33,89;96,00;43,67;100,00;60,00
35,37;34,05;96,24;34,71;95,76;32,50;36,01;52,60;33,25;33,96;96,00;43,32;100,00;60,00
35,49;33,94;96,24;34,82;95,76;32,50;36,01;52,60;33,25;34,02;96,00;43,27;100,00;60,00
35,56;33,90;96,24;34,91;95,76;32,60;35,99;51,80;33,25;34,08;96,00;42,85;100,00;60,00
35,63;33,91;96,23;35,00;95,76;32,60;35,99;51,80;33,25;34,12;96,00;42,85;100,00;60,00
35,71;33,47;96,24;35,08;95,76;32,70;36,17;51,70;33,25;34,19;96,00;42,59;100,00;60,00
35,83;33,15;96,24;35,19;95,76;32,70;36,17;51,70;33,25;34,24;96,00;42,43;100,00;60,00
35,90;32,91;96,24;35,29;95,77;32,80;36,34;51,60;33,25;34,31;96,00;42,26;100,00;60,00
35,97;32,17;96,24;35,35;95,77;32,80;36,34;51,60;33,25;34,34;96,00;41,89;100,00;60,00
36,02;31,58;96,24;35,42;95,77;32,90;36,40;51,10;33,25;34,40;96,00;41,34;100,00;60,00
36,11;31,10;96,24;35,50;95,77;32,90;36,40;51,10;33,25;34,44;96,00;41,10;100,00;60,00
36,20;30,97;96,24;35,57;95,76;33,00;36,35;50,20;33,25;34,51;96,00;40,58;100,00;60,00
36,30;30,99;96,24;35,69;95,77;33,00;36,35;50,20;33,25;34,56;96,00;40,59;100,00;60,00
36,37;31,04;96,24;35,75;95,76;33,10;36,32;49,40;33,25;34,62;96,00;40,22;100,00;60,00
36,48;30,66;96,24;35,84;95,76;33,10;36,32;49,40;33,25;34,67;96,00;40,03;100,00;59,00
36,53;30,29;96,24;35,93;95,77;33,20;36,46;49,20;33,25;34,73;96,00;39,74;100,00;61,00
36,63;30,09;96,23;36,04;95,76;33,20;36,46;49,20;33,25;34,78;96,00;39,64;100,00;60,00
36,69;30,00;96,24;36,11;95,76;33,30;36,52;48,70;33,25;34,84;96,00;39,35;100,00;60,00
36,78;29,63;96,23;36,21;95,77;33,30;36,52;48,70;33,25;34,88;96,00;39,17;100,00;59,00
