Value;Average;W_val;W_avg
8409556;8409278;1;0
8409529;8409279;1;0
8409541;8409280;1;0
8409533;8409281;1;0
8409553;8409282;1;0
8409555;8409283;1;0
8409558;8409284;1;0
8409544;8409285;1;0
8409548;8409286;1;0
8409533;8409287;1;0
8409525;8409288;1;0
8409550;8409289;1;0
8409546;8409290;1;0
8409539;8409291;1;0
8409558;8409291;1;0
8409534;8409292;1;0
8409543;8409293;1;0
8409528;8409294;1;0
8409543;8409295;1;0
8409555;8409296;1;0
8409561;8409297;1;0
8409545;8409298;1;0
8409532;8409298;1;0
8409555;8409299;1;0
8409549;8409300;1;0
8409555;8409301;1;0
8409563;8409302;1;0
8409546;8409303;1;0
8409563;8409304;1;0
8409547;8409304;1;0
8409554;8409305;1;0
8409567;8409306;1;0
8409577;8409307;1;0
8409560;8409308;1;0
8409569;8409309;1;0
8409574;8409310;1;0
8409582;8409311;1;0
8409562;8409311;1;0
8409559;8409312;1;0
8409582;8409313;1;0
8409573;8409314;1;0
8409568;8409315;1;0
8409565;8409316;1;0
8409563;8409316;1;0
8409572;8409317;1;0
8409557;8409318;1;0
8409565;8409319;1;0
8409558;8409320;1;0
8409582;8409320;1;0
8409571;8409321;1;0
8409539;8409322;1;0
8409563;8409323;1;0
8409565;8409323;1;0
8409552;8409324;1;0
8409544;8409325;1;0
8409550;8409325;1;0
8409569;8409326;1;0
8409569;8409327;1;0
8409567;8409328;1;0
8409551;8409328;1;0
8409573;8409329;1;0
8409568;8409330;1;0
8409569;8409331;1;0
8409571;8409331;1;0
8409608;8409332;1;0
8409578;8409333;1;0
8409573;8409334;1;0
8409566;8409334;1;0
8409549;8409335;1;0
8409567;8409336;1;0
8409556;8409336;1;0
8409558;8409337;1;0
8409549;8409338;1;0
8409605;8409338;1;0
8409602;8409339;1;0
8409600;8409340;1;0
8409590;8409341;1;0
8409606;8409341;1;0
8409592;8409342;1;0
8409591;8409343;1;0
8409591;8409344;1;0
8409598;8409344;1;0
8409572;8409345;1;0
8409580;8409346;1;0
8409583;8409346;1;0
8409581;8409347;1;0
8409586;8409348;1;0
8409588;8409348;1;0
8409569;8409349;1;0
8409573;8409350;1;0
8409567;8409350;1;0
8409572;8409351;1;0
8409595;8409352;1;0
8409593;8409352;1;0
8409601;8409353;1;0
8409590;8409354;1;0
8409584;8409354;1;0
8409585;8409355;1;0
8409612;8409356;1;0
8409606;8409356;1;0
8409590;8409357;1;0
8409607;8409358;1;0
8409610;8409358;1;0
8409613;8409359;1;0
8409605;8409360;1;0
8409635;8409360;1;0
8409629;8409361;1;0
8409616;8409362;1;0
8409617;8409362;1;0
8409624;8409363;1;0
8409600;8409364;1;0
8409618;8409364;1;0
8409610;8409365;1;0
8409610;8409366;1;0
8409613;8409366;1;0
8409620;8409367;1;0
8409649;8409368;1;0
8409623;8409368;1;0
8409616;8409369;1;0
8409627;8409370;1;0
8409626;8409370;1;0
8409646;8409371;1;0
8409615;8409372;1;0
8409609;8409372;1;0
8409625;8409373;1;0
8409618;8409374;1;0
8409640;8409374;1;0
8409637;8409375;1;0
8409663;8409376;1;0
8409621;8409376;1;0
8409628;8409377;1;0
8409619;8409378;1;0
8409625;8409378;1;0
8409604;8409379;1;0
8409630;8409379;1;0
8409641;8409380;1;0
8409609;8409381;1;0
8409630;8409381;1;0
8409639;8409382;1;0
8409624;8409382;1;0
8409599;8409383;1;0
8409607;8409383;1;0
8409595;8409384;1;0
8409607;8409385;1;0
8409597;8409385;1;0
8409614;8409386;1;0
8409615;8409386;1;0
8409610;8409387;1;0
8409627;8409387;1;0
8409639;8409388;1;0
8409646;8409389;1;0
8409654;8409389;1;0
8409643;8409390;1;0
8409667;8409390;1;0
8409654;8409391;1;0
8409648;8409392;1;0
8409636;8409392;1;0
8409643;8409393;1;0
8409656;8409393;1;0
8409652;8409394;1;0
8409634;8409395;1;0
8409614;8409395;1;0
8409634;8409396;1;0
8409644;8409396;1;0
8409639;8409397;1;0
8409653;8409397;1;0
8409667;8409398;1;0
8409662;8409399;1;0
8409664;8409399;1;0
8409648;8409400;1;0
8409668;8409400;1;0
8409678;8409401;1;0
8409664;8409402;1;0
8409647;8409402;1;0
8409667;8409403;1;0
8409666;8409403;1;0
8409658;8409404;1;0
8409654;8409405;1;0
8409670;8409405;1;0
8409686;8409406;1;0
8409684;8409406;1;0
8409668;8409407;1;0
8409671;8409408;1;0
8409679;8409408;1;0
8409670;8409409;1;0
8409665;8409409;1;0
8409670;8409410;1;0
8409650;8409410;1;0
8409647;8409411;1;0
8409650;8409411;1;0
8409658;8409412;1;0
8409669;8409413;1;0
8409650;8409413;1;0
8409642;8409414;1;0
8409652;8409414;1;0
8409676;8409415;1;0
8409687;8409415;1;0
8409694;8409416;1;0
8409690;8409416;1;0
8409699;8409417;1;0
8409678;8409418;1;0
8409642;8409418;1;0
8409657;8409419;1;0
8409681;8409419;1;0
8409665;8409420;1;0
8409681;8409420;1;0
8409681;8409421;1;0
8409700;8409421;1;0
8409699;8409422;1;0
8409684;8409423;1;0
8409678;8409423;1;0
8409686;8409424;1;0
8409671;8409424;1;0
8409672;8409425;1;0
8409684;8409425;1;0
8409695;8409426;1;0
8409687;8409426;1;0
8409702;8409427;1;0
8409695;8409427;1;0
8409686;8409428;1;0
8409675;8409428;1;0
8409695;8409429;1;0
8409694;8409430;1;0
8409711;8409430;1;0
8409709;8409431;1;0
8409697;8409431;1;0
8409680;8409432;1;0
8409678;8409432;1;0
8409691;8409433;1;0
8409687;8409433;1;0
8409703;8409434;1;0
8409700;8409434;1;0
8409705;8409435;1;0
8409700;8409435;1;0
8409707;8409436;1;0
8409696;8409436;1;0
8409694;8409437;1;0
8409686;8409437;1;0
8409700;8409438;1;0
8409709;8409439;1;0
8409698;8409439;1;0
8409685;8409440;1;0
8409705;8409440;1;0
8409707;8409441;1;0
8409705;8409441;1;0
8409702;4418;1;0
8409676;20834;1;0
8409672;37187;1;0
8409670;53475;1;0
8409673;69701;1;0
8409696;85864;1;0
8409702;101964;1;0
8409697;118002;1;0
8409683;133978;1;0
8409695;149893;1;0
8409703;165747;1;0
8409706;181540;1;0
8409701;197273;1;0
8409675;212945;1;0
8409683;228558;1;0
8409698;244112;1;0
8409725;259606;1;0
8409691;275042;1;0
8409690;290419;1;0
8409711;305739;1;0
8409714;321000;1;0
8409700;336205;1;0
8409705;351352;1;0
8409718;366443;1;0
8409705;381477;1;0
8409712;396455;1;0
8409694;411377;1;0
8409679;426244;1;0
8409686;441055;1;0
8409702;455812;1;0
8409705;470514;1;0
8409718;485162;1;0
8409698;499756;1;0
8409704;514297;1;0
8409722;528784;1;0
8409729;543218;1;0
8409739;557599;1;0
8409734;571927;1;0
8409723;586204;1;0
8409735;600429;1;0
8409753;614602;1;0
8409739;628723;1;0
8409755;642794;1;0
8409735;656814;1;0
8409722;670783;1;0
8409731;684702;1;0
8409739;698571;1;0
8409719;712390;1;0
8409730;726160;1;0
8409737;739880;1;0
8409715;753552;1;0
8409731;767175;1;0
8409741;780750;1;0
8409709;794277;1;0
8409713;807755;1;0
8409721;821186;1;0
8409735;834570;1;0
8409719;847906;1;0
8409722;861196;1;0
8409711;874439;1;0
8409722;887636;1;0
8409720;900786;1;0
8409726;913891;1;0
8409714;926950;1;0
8409723;939963;1;0
8409700;952932;1;0
8409718;965855;1;0
8409725;978734;1;0
8409723;991568;1;0
8409738;1004358;1;0
8409736;1017104;1;0
8409725;1029806;1;0
8409734;1042464;1;0
8409727;1055079;1;0
8409736;1067652;1;0
8409739;1080181;1;0
8409751;1092667;1;0
8409736;1105111;1;0
8409736;1117513;1;0
8409707;1129873;1;0
8409720;1142190;1;0
8409721;1154467;1;0
8409744;1166702;1;0
8409723;1178895;1;0
8409705;1191048;1;0
8409728;1203160;1;0
8409724;1215231;1;0
8409715;1227262;1;0
8409714;1239253;1;0
8409711;1251203;1;0
8409710;1263114;1;0
8409715;1274986;1;0
8409735;1286818;1;0
8409727;1298611;1;0
8409737;1310365;1;0
8409736;1322080;1;0
8409743;1333756;1;0
8409730;1345394;1;0
8409733;1356994;1;0
8409729;1368556;1;0
8409734;1380080;1;0
8409743;1391567;1;0
8409748;1403016;1;0
8409745;1414427;1;0
8409738;1425802;1;0
8409738;1437139;1;0
8409743;1448440;1;0
8409742;1459704;1;0
8409740;1470932;1;0
8409749;1482124;1;0
8409769;1493279;1;0
8409761;1504399;1;0
8409742;1515483;1;0
8409742;1526532;1;0
8409743;1537545;1;0
8409743;1548523;1;0
8409717;1559466;1;0
8409707;1570374;1;0
8409709;1581247;1;0
8409715;1592086;1;0
8409725;1602890;1;0
8409716;1613661;1;0
8409746;1624397;1;0
8409761;1635099;1;0
8409741;1645768;1;0
8409742;1656403;1;0
8409745;1667005;1;0
8409755;1677574;1;0
8409738;1688109;1;0
8409762;1698612;1;0
8409759;1709082;1;0
8409753;1719519;1;0
8409725;1729923;1;0
8409746;1740296;1;0
8409723;1750636;1;0
8409729;1760944;1;0
8409743;1771220;1;0
8409744;1781465;1;0
8409754;1791678;1;0
8409751;1801860;1;0
8409742;1812010;1;0
8409740;1822129;1;0
8409752;1832218;1;0
8409750;1842275;1;0
8409761;1852302;1;0
8409757;1862298;1;0
8409740;1872264;1;0
8409729;1882199;1;0
8409729;1892104;1;0
8409726;1901979;1;0
8409727;1911825;1;0
8409733;1921640;1;0
8409744;1931426;1;0
8409734;1941183;1;0
8409747;1950910;1;0
8409753;1960608;1;0
8409741;1970277;1;0
8409742;1979917;1;0
8409728;1989528;1;0
8409742;1999110;1;0
8409736;2008664;1;0
8409740;2018189;1;0
8409734;2027686;1;0
8409748;2037155;1;0
8409752;2046596;1;0
8409735;2056009;1;0
8409751;2065394;1;0
8409753;2074752;1;0
8409761;2084082;1;0
8409755;2093384;1;0
8409751;2102659;1;0
8409740;2111907;1;0
8409756;2121128;1;0
8409747;2130322;1;0
8409763;2139489;1;0
8409754;2148629;1;0
8409761;2157743;1;0
8409759;2166830;1;0
8409754;2175891;1;0
8409746;2184926;1;0
8409767;2193934;1;0
8409754;2202917;1;0
8409750;2211873;1;0
8409747;2220804;1;0
8409755;2229709;1;0
8409744;2238588;1;0
8409752;2247442;1;0
8409742;2256270;1;0
8409734;2265074;1;0
8409747;2273852;1;0
8409749;2282605;1;0
8409734;2291333;1;0
8409756;2300036;1;0
8409753;2308715;1;0
8409742;2317369;1;0
8409741;2325998;1;0
8409736;2334603;1;0
8409757;2343184;1;0
8409755;2351740;1;0
8409747;2360273;1;0
8409758;2368781;1;0
8409756;2377266;1;0
8409741;2385726;1;0
8409729;2394163;1;0
8409740;2402577;1;0
8409737;2410967;1;0
8409766;2419333;1;0
8409762;2427676;1;0
8409745;2435996;1;0
8409759;2444293;1;0
8409764;2452567;1;0
8409750;2460818;1;0
8409757;2469046;1;0
8409769;2477252;1;0
8409754;2485434;1;0
8409764;2493595;1;0
8409746;2501732;1;0
8409745;2509848;1;0
8409747;2517941;1;0
8409758;2526012;1;0
8409742;2534061;1;0
8409748;2542088;1;0
8409752;2550093;1;0
8409746;2558076;1;0
8409743;2566037;1;0
8409741;2573977;1;0
8409748;2581895;1;0
8409736;2589792;1;0
8409729;2597668;1;0
8409746;2605522;1;0
8409734;2613355;1;0
8409757;2621167;1;0
8409738;2628957;1;0
8409757;2636727;1;0
8409760;2644476;1;0
8409751;2652205;1;0
8409754;2659912;1;0
8409752;2667599;1;0
8409739;2675265;1;0
8409749;2682911;1;0
8409753;2690537;1;0
8409769;2698142;1;0
8409768;2705728;1;0
8409764;2713293;1;0
8409772;2720838;1;0
8409764;2728363;1;0
8409771;2735868;1;0
8409752;2743353;1;0
8409758;2750819;1;0
8409756;2758265;1;0
8409752;2765691;1;0
8409750;2773098;1;0
8409726;2780486;1;0
8409732;2787854;1;0
8409742;2795203;1;0
8409741;2802532;1;0
8409743;2809843;1;0
8409750;2817134;1;0
8409745;2824407;1;0
8409750;2831661;1;0
8409756;2838895;1;0
8409767;2846112;1;0
8409764;2853309;1;0
8409762;2860488;1;0
8409770;2867648;1;0
8409756;2874790;1;0
8409771;2881914;1;0
8409752;2889019;1;0
8409747;2896106;1;0
8409764;2903175;1;0
8409760;2910225;1;0
8409770;2917258;1;0
8409756;2924273;1;0
8409742;2931269;1;0
8409748;2938248;1;0
8409753;2945210;1;0
8409751;2952153;1;0
8409744;2959079;1;0
8409739;2965987;1;0
8409750;2972878;1;0
8409751;2979752;1;0
8409765;2986608;1;0
8409765;2993446;1;0
8409775;3000268;1;0
8409783;3007072;1;0
8409771;3013860;1;0
8409776;3020630;1;0
8409759;3027383;1;0
8409765;3034120;1;0
8409782;3040839;1;0
8409771;3047542;1;0
8409773;3054228;1;0
8409761;3060898;1;0
8409762;3067550;1;0
8409769;3074187;1;0
8409787;3080807;1;0
8409796;3087410;1;0
8409785;3093997;1;0
8409769;3100568;1;0
8409761;3107122;1;0
8409759;3113661;1;0
8409759;3120183;1;0
8409755;3126689;1;0
8409759;3133180;1;0
8409786;3139654;1;0
8409758;3146112;1;0
8409761;3152555;1;0
8409786;3158982;1;0
8409781;3165393;1;0
8409757;3171789;1;0
8409780;3178169;1;0
8409777;3184533;1;0
8409756;3190882;1;0
8409766;3197216;1;0
8409766;3203534;1;0
8409775;3209837;1;0
8409766;3216125;1;0
8409759;3222397;1;0
8409772;3228655;1;0
8409771;3234897;1;0
8409770;3241124;1;0
8409779;3247337;1;0
8409781;3253534;1;0
8409788;3259717;1;0
8409791;3265884;1;0
8409789;3272037;1;0
8409769;3278176;1;0
8409777;3284299;1;0
8409775;3290408;1;0
8409785;3296503;1;0
8409772;3302583;1;0
8409789;3308648;1;0
8409792;3314699;1;0
8409795;3320736;1;0
8409788;3326759;1;0
8409771;3332767;1;0
8409781;3338761;1;0
8409782;3344741;1;0
8409783;3350707;1;0
8409769;3356659;1;0
8409777;3362597;1;0
8409776;3368521;1;0
8409787;3374431;1;0
8409787;3380327;1;0
8409779;3386209;1;0
8409782;3392078;1;0
8409786;3397933;1;0
8409783;3403774;1;0
8409786;3409602;1;0
8409792;3415416;1;0
8409781;3421217;1;0
8409810;3427004;1;0
8409794;3432778;1;0
8409797;3438538;1;0
8409786;3444285;1;0
8409790;3450019;1;0
8409790;3455740;1;0
8409789;3461447;1;0
8409799;3467142;1;0
8409779;3472823;1;0
8409772;3478491;1;0
8409773;3484146;1;0
8409784;3489788;1;0
8409789;3495418;1;0
8409799;3501034;1;0
8409797;3506638;1;0
8409783;3512228;1;0
8409779;3517807;1;0
8409794;3523372;1;0
8409784;3528925;1;0
8409783;3534465;1;0
8409786;3539992;1;0
8409787;3545507;1;0
8409790;3551010;1;0
8409780;3556500;1;0
8409776;3561978;1;0
