BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
27,27;58,82;95,77;26,30;95,53;27,00;28,96;71,30;27,00;26,89;95,65;65,06;80,00;60,00;5,00;9,00
27,27;58,83;95,77;26,31;95,53;27,00;28,96;71,30;27,00;26,89;95,65;65,07;81,00;59,00;5,00;9,00
27,27;58,84;95,76;26,31;95,53;27,00;28,96;71,30;27,00;26,89;95,65;65,07;82,00;59,00;5,00;9,00
27,27;58,84;95,76;26,32;95,53;27,00;28,96;71,30;27,00;26,90;95,65;65,07;81,00;60,00;5,00;9,00
27,28;58,84;95,77;26,32;95,52;27,00;28,96;71,30;27,00;26,90;95,65;65,07;80,00;60,00;5,00;9,00
27,28;58,84;95,77;26,32;95,53;27,00;28,97;71,40;27,00;26,90;95,65;65,12;81,00;61,00;5,00;9,00
27,28;58,82;95,77;26,31;95,53;27,00;28,97;71,40;27,00;26,90;95,65;65,11;81,00;59,00;5,00;9,00
27,29;58,82;95,77;26,33;95,53;27,00;28,97;71,40;27,00;26,91;95,65;65,11;81,00;60,00;5,00;9,00
27,29;58,81;95,77;26,32;95,53;27,00;28,97;71,40;27,00;26,90;95,65;65,11;81,00;60,00;5,00;9,00
27,29;58,82;95,77;26,34;95,53;27,00;28,97;71,40;27,00;26,91;95,65;65,11;80,00;60,00;5,00;8,00
27,29;58,83;95,77;26,33;95,53;27,00;28,97;71,40;27,00;26,90;95,65;65,12;81,00;60,00;5,00;8,00
27,29;58,81;95,77;26,33;95,53;27,00;28,97;71,40;27,00;26,90;95,65;65,11;81,00;60,00;5,00;8,00
27,29;58,76;95,77;26,33;95,53;27,00;28,97;71,40;27,00;26,91;95,65;65,08;81,00;60,00;5,00;8,00
27,29;58,72;95,77;26,34;95,53;27,00;28,97;71,40;27,00;26,91;95,65;65,06;81,00;60,00;5,00;8,00
27,30;58,70;95,77;26,34;95,53;27,00;28,97;71,40;27,00;26,91;95,65;65,05;81,00;60,00;5,00;8,00
27,30;58,68;95,77;26,35;95,53;27,00;28,96;71,30;27,00;26,91;95,65;64,99;82,00;60,00;5,00;8,00
27,30;58,65;95,77;26,34;95,53;27,00;28,96;71,30;27,00;26,91;95,65;64,97;81,00;60,00;5,00;8,00
27,31;58,65;95,77;26,35;95,53;27,00;28,96;71,30;27,00;26,92;95,65;64,97;81,00;60,00;5,00;8,00
27,31;58,64;95,77;26,35;95,53;27,00;28,96;71,30;27,00;26,92;95,65;64,97;83,00;60,00;5,00;8,00
27,31;58,65;95,76;26,36;95,53;27,00;28,96;71,30;27,25;26,98;95,65;64,97;83,00;60,00;5,00;8,00
27,31;58,65;95,77;26,34;95,53;27,00;28,96;71,30;27,25;26,98;95,65;64,97;83,00;60,00;5,00;8,00
27,31;58,64;95,77;26,35;95,53;27,00;28,96;71,20;27,25;26,98;95,65;64,92;82,00;61,00;5,00;8,00
27,32;58,65;95,77;26,36;95,53;27,00;28,96;71,20;27,25;26,98;95,65;64,92;82,00;60,00;5,00;8,00
27,32;58,65;95,77;26,36;95,53;27,00;28,95;71,10;27,25;26,98;95,65;64,87;82,00;60,00;5,00;8,00
27,32;58,60;95,76;26,35;95,53;27,00;28,95;71,10;27,25;26,98;95,64;64,85;82,00;60,00;5,00;8,00
