BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
31,10;45,94;961,94;29,68;960,36;31,00;33,71;55,20;30,25;30,51;961,15;50,57;46,00;60,00
31,10;45,82;961,88;29,68;960,34;31,00;33,71;55,20;30,25;30,51;961,11;50,51;45,00;60,00
31,10;45,71;961,89;29,68;960,34;31,00;33,91;56,10;30,25;30,51;961,11;50,90;45,00;60,00
31,10;45,56;961,88;29,67;960,27;31,00;33,91;56,10;30,25;30,51;961,07;50,83;46,00;60,00
31,10;45,46;961,91;29,68;960,34;31,00;33,87;55,90;30,25;30,51;961,12;50,68;45,00;60,00
31,11;45,33;961,95;29,68;960,27;31,00;33,87;55,90;30,25;30,51;961,11;50,61;46,00;60,00
31,10;45,22;961,87;29,68;960,31;31,00;33,80;55,60;30,25;30,51;961,09;50,41;46,00;60,00
31,10;45,11;961,91;29,70;960,34;31,00;33,80;55,60;30,25;30,51;961,12;50,35;45,00;60,00
31,11;45,02;961,92;29,68;960,35;31,00;33,75;55,40;30,25;30,51;961,13;50,21;46,00;60,00
31,11;44,96;961,91;29,70;960,33;31,00;33,75;55,40;30,25;30,51;961,12;50,18;46,00;60,00
31,11;44,92;961,94;29,68;960,32;31,00;33,71;55,20;30,25;30,51;961,13;50,06;46,00;60,00
31,11;44,84;961,89;29,70;960,35;31,00;33,71;55,20;30,25;30,51;961,12;50,02;46,00;60,00
31,11;44,80;961,90;29,70;960,38;31,00;33,67;55,00;30,25;30,51;961,14;49,90;45,00;60,00
31,11;44,77;961,92;29,69;960,35;31,00;33,67;55,00;30,25;30,51;961,13;49,88;46,00;60,00
31,11;44,70;961,93;29,70;960,34;31,00;33,64;54,90;30,25;30,51;961,14;49,80;46,00;60,00
31,11;44,65;961,94;29,70;960,33;31,00;33,64;54,90;30,25;30,51;961,14;49,77;45,00;59,00
31,11;44,60;961,89;29,70;960,36;31,00;33,62;54,80;30,25;30,51;961,12;49,70;46,00;60,00
31,11;44,53;961,90;29,71;960,33;31,00;33,62;54,80;30,25;30,52;961,12;49,67;46,00;60,00
31,10;44,49;961,92;29,70;960,34;31,00;33,60;54,70;30,25;30,51;961,13;49,59;46,00;60,00
31,11;44,44;961,86;29,70;960,31;31,00;33,60;54,70;30,25;30,51;961,09;49,57;46,00;60,00
31,11;44,40;961,89;29,71;960,30;31,00;33,58;54,60;30,25;30,52;961,10;49,50;46,00;60,00
31,11;44,35;961,89;29,70;960,31;31,00;33,58;54,60;30,25;30,51;961,10;49,48;46,00;60,00
31,11;44,29;961,98;29,70;960,30;31,00;33,55;54,50;30,25;30,51;961,14;49,40;46,00;60,00
31,11;44,25;961,93;29,68;960,33;31,00;33,55;54,50;30,25;30,51;961,13;49,37;46,00;60,00
31,11;44,24;961,88;29,70;960,31;31,00;33,53;54,40;30,25;30,52;961,09;49,32;46,00;60,00
31,11;44,23;961,94;29,70;960,34;31,00;33,53;54,40;30,25;30,51;961,14;49,31;46,00;60,00
31,11;44,21;961,90;29,70;960,33;31,00;33,51;54,30;30,25;30,51;961,11;49,26;46,00;60,00
31,11;44,20;961,94;29,70;960,37;31,00;33,51;54,30;30,25;30,52;961,15;49,25;46,00;60,00
31,11;44,18;961,93;29,70;960,36;31,00;33,49;54,20;30,25;30,51;961,15;49,19;47,00;60,00
31,11;44,15;961,87;29,70;960,38;31,00;33,49;54,20;30,25;30,52;961,13;49,17;46,00;60,00
31,11;44,13;961,90;29,70;960,36;31,00;33,49;54,20;30,25;30,51;961,13;49,17;46,00;60,00
31,11;44,15;961,90;29,70;960,35;31,00;33,49;54,20;30,25;30,51;961,12;49,17;46,00;60,00
31,11;44,17;961,89;29,70;960,34;31,00;33,49;54,20;30,25;30,51;961,11;49,18;46,00;61,00
31,11;44,19;961,93;29,70;960,35;31,00;33,49;54,20;30,25;30,51;961,14;49,20;46,00;60,00
31,11;44,21;961,92;29,70;960,34;31,00;33,49;54,20;30,25;30,52;961,13;49,21;46,00;60,00
31,11;44,23;961,89;29,71;960,38;31,00;33,49;54,20;30,25;30,52;961,13;49,21;46,00;60,00
31,11;44,23;961,90;29,70;960,38;31,00;33,49;54,20;30,25;30,52;961,14;49,21;46,00;60,00
31,11;44,24;961,93;29,70;960,38;31,00;33,49;54,20;30,25;30,51;961,15;49,22;46,00;60,00
31,11;44,25;961,97;29,68;960,34;31,00;33,49;54,20;30,25;30,51;961,15;49,22;46,00;60,00
31,10;44,26;961,95;29,70;960,37;31,00;33,49;54,20;30,25;30,51;961,16;49,23;46,00;60,00
31,11;44,27;961,94;29,70;960,32;31,00;33,49;54,20;30,25;30,52;961,13;49,24;46,00;60,00
31,11;44,28;961,91;29,69;960,32;31,00;33,49;54,20;30,25;30,51;961,12;49,24;46,00;60,00
31,10;44,29;961,96;29,70;960,35;31,00;33,51;54,30;30,25;30,51;961,16;49,30;46,00;60,00
31,10;44,28;961,90;29,71;960,54;31,00;33,51;54,30;30,25;30,51;961,22;49,29;46,00;60,00
31,11;44,27;961,93;29,68;960,32;31,00;33,51;54,30;30,25;30,51;961,13;49,29;46,00;60,00
31,10;44,28;961,93;29,70;960,39;31,00;33,51;54,30;30,25;30,51;961,16;49,29;46,00;60,00
31,11;44,29;961,91;29,68;960,34;31,00;33,51;54,30;30,25;30,51;961,12;49,30;46,00;60,00
