BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
41,33;23,67;964,95;40,87;961,70;39,00;44,71;37,90;38,00;39,80;963,32;30,78;4,00;62,00
41,36;23,21;965,00;40,91;961,74;39,00;44,71;37,90;38,00;39,82;963,37;30,56;4,00;56,00
41,40;23,52;965,02;40,93;961,76;39,00;45,11;38,70;38,00;39,83;963,39;31,11;4,00;62,00
41,38;23,38;965,01;40,98;961,79;39,00;45,11;38,70;38,00;39,84;963,40;31,04;4,00;62,00
41,39;23,86;965,12;40,97;961,82;38,90;45,23;39,40;38,00;39,81;963,47;31,63;4,00;59,00
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
41,30;22,36;965,11;40,71;961,84;38,90;45,33;39,60;37,25;39,54;963,47;30,98;4,00;59,00
41,27;22,42;965,10;40,77;961,79;38,90;45,33;39,60;37,25;39,55;963,44;31,01;4,00;58,00
41,28;22,46;965,15;40,78;961,85;38,80;44,31;38,00;37,25;39,53;963,50;30,23;4,00;62,00
41,28;23,34;965,11;40,79;961,80;38,80;44,31;38,00;37,25;39,53;963,46;30,67;4,00;58,00
41,38;23,85;965,11;40,87;961,76;38,80;44,26;37,90;37,25;39,58;963,43;30,87;4,00;60,00
41,33;23,34;965,11;40,87;961,77;38,80;44,26;37,90;37,25;39,56;963,44;30,62;4,00;56,00
41,27;23,02;965,07;40,87;961,77;38,80;44,50;38,40;37,25;39,55;963,42;30,71;4,00;60,00
41,31;22,96;965,08;40,77;961,75;38,80;44,50;38,40;37,25;39,53;963,42;30,68;4,00;59,00
41,18;23,28;965,12;40,56;961,78;38,70;44,32;38,50;37,25;39,42;963,45;30,89;4,00;62,00
41,27;23,33;965,13;40,62;961,73;38,70;44,32;38,50;37,25;39,46;963,43;30,91;4,00;55,00
41,24;23,47;965,11;40,67;961,70;38,70;44,37;38,60;37,25;39,47;963,41;31,03;5,00;58,00
41,28;23,46;965,04;40,67;961,71;38,70;44,37;38,60;37,25;39,47;963,38;31,03;4,00;62,00
41,24;23,05;965,08;40,68;961,75;38,70;44,46;38,80;37,25;39,47;963,42;30,92;4,00;58,00
41,18;23,09;965,13;40,62;961,77;38,70;44,46;38,80;37,25;39,44;963,45;30,94;4,00;58,00
41,12;23,25;965,07;40,59;961,81;38,70;44,46;38,80;37,25;39,41;963,44;31,02;4,00;59,00
41,13;22,94;965,09;40,53;961,68;38,70;44,46;38,80;37,25;39,40;963,39;30,87;4,00;60,00
41,10;23,03;965,12;40,45;961,71;38,70;44,46;38,80;37,25;39,38;963,41;30,91;4,00;64,00
41,12;22,93;965,09;40,50;961,74;38,70;44,46;38,80;37,25;39,39;963,41;30,87;3,00;59,00
41,22;22,90;965,07;40,61;961,65;38,60;44,19;38,70;37,25;39,42;963,36;30,80;4,00;60,00
41,13;23,04;965,04;40,53;961,70;38,60;44,19;38,70;37,25;39,38;963,37;30,87;4,00;63,00
41,19;23,09;965,03;40,60;961,69;38,60;44,14;38,60;37,25;39,41;963,36;30,84;4,00;60,00
41,20;22,92;965,05;40,65;961,64;38,60;44,14;38,60;37,25;39,42;963,35;30,76;4,00;57,00
41,21;22,53;965,01;40,69;961,63;38,60;44,19;38,70;37,25;39,44;963,32;30,62;4,00;54,00
41,24;22,70;964,99;40,68;961,57;38,60;44,19;38,70;37,25;39,44;963,28;30,70;4,00;66,00
41,26;22,99;965,13;40,67;961,70;38,60;44,14;38,60;37,25;39,45;963,41;30,79;4,00;69,00
41,33;22,79;964,96;40,71;961,53;38,60;44,14;38,60;37,25;39,47;963,25;30,70;4,00;58,00
