BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
31,18;39,95;962,07;29,86;960,34;30,80;32,54;51,30;30,25;30,52;961,20;45,63;27,00;60,00
31,18;39,91;962,03;29,86;960,34;30,80;32,54;51,30;30,25;30,52;961,18;45,60;27,00;60,00
31,18;39,87;962,03;29,86;960,33;30,80;32,48;51,00;30,25;30,52;961,18;45,44;27,00;60,00
31,18;39,85;962,10;29,86;960,38;30,80;32,48;51,00;30,25;30,52;961,24;45,43;27,00;60,00
31,18;39,85;962,04;29,86;960,38;30,80;32,50;51,10;30,25;30,52;961,21;45,48;27,00;60,00
31,19;39,84;962,09;29,86;960,49;30,80;32,50;51,10;30,25;30,52;961,29;45,47;27,00;60,00
31,18;39,84;962,00;29,85;960,29;30,70;32,33;51,10;30,25;30,50;961,14;45,47;27,00;60,00
31,18;39,85;962,08;29,85;960,28;30,70;32,33;51,10;30,25;30,50;961,18;45,48;27,00;60,00
31,19;39,84;962,04;29,85;960,27;30,80;32,50;51,10;30,25;30,52;961,16;45,47;27,00;60,00
31,19;39,84;962,11;29,87;960,36;30,80;32,50;51,10;30,25;30,53;961,23;45,47;27,00;60,00
31,19;39,83;962,06;29,88;960,39;30,80;32,50;51,10;30,25;30,53;961,23;45,46;27,00;60,00
31,19;39,82;962,07;29,88;960,40;30,80;32,50;51,10;30,25;30,53;961,23;45,46;27,00;60,00
31,19;39,82;962,11;29,88;960,38;30,80;32,50;51,10;30,25;30,53;961,24;45,46;27,00;60,00
31,19;39,84;962,03;29,88;960,33;30,80;32,50;51,10;30,25;30,53;961,18;45,47;27,00;60,00
31,19;39,83;962,09;29,89;960,30;30,80;32,50;51,10;30,25;30,53;961,19;45,46;27,00;60,00
31,19;39,85;962,08;29,87;960,26;30,80;32,50;51,10;30,25;30,53;961,17;45,48;27,00;60,00
31,19;39,88;962,06;29,89;960,37;30,80;32,50;51,10;30,25;30,53;961,22;45,49;27,00;60,00
31,19;39,88;962,06;29,90;960,37;30,80;32,50;51,10;30,25;30,53;961,21;45,49;27,00;60,00
31,19;39,88;962,00;29,89;960,35;30,80;32,50;51,10;30,25;30,53;961,18;45,49;27,00;60,00
31,20;39,88;962,06;29,90;960,30;30,80;32,50;51,10;30,25;30,54;961,18;45,49;27,00;60,00
31,20;39,84;962,06;29,89;960,33;30,80;32,50;51,10;30,25;30,54;961,19;45,47;27,00;60,00
31,20;39,82;962,05;29,90;960,36;30,80;32,50;51,10;30,25;30,54;961,21;45,46;27,00;59,00
31,20;39,82;962,05;29,91;960,37;30,80;32,50;51,10;30,25;30,54;961,21;45,46;26,00;60,00
31,20;39,82;962,03;29,90;960,31;30,80;32,50;51,10;30,25;30,54;961,17;45,46;28,00;60,00
31,19;39,82;962,05;29,90;960,39;30,80;32,50;51,10;30,25;30,54;961,22;45,46;27,00;60,00
31,18;39,79;962,07;29,89;960,30;30,80;32,50;51,10;30,25;30,53;961,18;45,45;27,00;60,00
31,18;39,76;962,04;29,89;960,36;30,80;32,50;51,10;30,25;30,53;961,20;45,43;27,00;60,00
31,18;39,76;962,03;29,90;960,39;30,80;32,50;51,10;30,25;30,53;961,21;45,43;27,00;60,00
31,19;39,77;962,02;29,90;960,37;30,80;32,50;51,10;30,25;30,53;961,19;45,44;27,00;60,00
31,19;39,78;962,08;29,89;960,32;30,80;32,50;51,10;30,25;30,53;961,20;45,44;28,00;60,00
31,19;39,79;962,10;29,89;960,30;30,80;32,50;51,10;30,25;30,53;961,20;45,45;27,00;60,00
31,19;39,82;962,04;29,92;960,36;30,80;32,50;51,10;30,25;30,54;961,20;45,46;27,00;60,00
31,19;39,84;962,06;29,92;960,34;30,80;32,50;51,10;30,25;30,54;961,20;45,47;27,00;60,00
31,19;39,84;962,03;29,91;960,34;30,80;32,50;51,10;30,25;30,54;961,18;45,47;27,00;60,00
31,19;39,83;962,03;29,92;960,33;30,80;32,50;51,10;30,25;30,54;961,18;45,46;27,00;60,00
31,20;39,84;962,09;29,93;960,36;30,80;32,50;51,10;30,25;30,54;961,22;45,47;27,00;60,00
31,19;39,85;962,09;29,93;960,37;30,80;32,50;51,10;30,25;30,54;961,23;45,48;27,00;60,00
31,18;39,89;962,02;29,92;960,40;30,80;32,50;51,10;30,25;30,54;961,21;45,49;27,00;60,00
31,16;40,42;962,05;29,89;960,37;30,80;32,50;51,10;30,25;30,53;961,21;45,76;28,00;60,00
31,14;40,72;962,05;29,86;960,37;30,80;32,50;51,10;30,25;30,51;961,21;45,91;27,00;59,00
31,14;40,70;962,06;29,86;960,38;30,80;32,54;51,30;30,25;30,51;961,22;46,00;27,00;60,00
31,16;40,78;962,07;29,88;960,28;30,80;32,54;51,30;30,25;30,52;961,18;46,04;28,00;60,00
31,15;40,88;962,01;29,89;960,38;30,80;32,60;51,60;30,25;30,52;961,20;46,24;28,00;60,00
31,16;40,81;962,01;29,88;960,32;30,80;32,60;51,60;30,25;30,52;961,16;46,21;27,00;60,00
31,16;40,74;962,06;29,89;960,34;30,80;32,64;51,80;30,25;30,52;961,20;46,27;27,00;60,00
31,16;40,74;962,07;29,88;960,37;30,80;32,64;51,80;30,25;30,52;961,22;46,27;28,00;60,00
31,17;40,91;962,06;29,89;960,42;30,80;32,66;51,90;30,25;30,53;961,24;46,40;28,00;60,00
31,17;41,27;962,10;29,88;960,35;30,80;32,66;51,90;30,25;30,53;961,23;46,58;27,00;60,00
31,17;41,30;962,05;29,89;960,29;30,80;32,64;51,80;30,25;30,53;961,17;46,55;27,00;60,00
31,17;41,20;962,11;29,88;960,32;30,80;32,64;51,80;30,25;30,53;961,21;46,50;28,00;60,00
31,17;40,96;962,09;29,89;960,31;30,80;32,64;51,80;30,25;30,53;961,20;46,38;28,00;60,00
31,15;40,52;962,06;29,88;960,36;30,80;32,64;51,80;30,25;30,52;961,21;46,16;27,00;60,00
31,16;40,38;962,06;29,88;960,37;30,80;32,64;51,80;30,25;30,52;961,22;46,09;27,00;60,00
31,16;40,46;962,04;29,88;960,32;30,80;32,64;51,80;30,25;30,52;961,18;46,13;28,00;61,00
31,16;40,47;962,05;29,89;960,39;30,80;32,58;51,50;30,25;30,53;961,22;45,99;27,00;60,00
31,15;40,35;962,03;29,88;960,38;30,80;32,58;51,50;30,25;30,52;961,20;45,92;27,00;60,00
31,14;40,21;962,10;29,87;960,40;30,80;32,56;51,40;30,25;30,51;961,25;45,81;28,00;60,00
31,14;40,09;962,09;29,86;960,41;30,80;32,56;51,40;30,25;30,51;961,25;45,74;27,00;60,00
31,14;40,02;962,02;29,84;960,33;30,70;32,37;51,30;30,25;30,48;961,18;45,66;27,00;60,00
31,14;39,98;962,08;29,84;960,35;30,70;32,37;51,30;30,25;30,48;961,21;45,64;28,00;60,00
31,15;39,98;962,03;29,84;960,35;30,80;32,52;51,20;30,00;30,45;961,19;45,59;27,00;60,00
31,13;39,95;962,02;29,81;960,38;30,80;32,52;51,20;30,00;30,44;961,20;45,57;27,00;60,00
31,13;39,96;962,04;29,81;960,35;30,70;32,33;51,10;30,00;30,41;961,19;45,53;28,00;60,00
31,11;39,95;962,02;29,78;960,37;30,70;32,33;51,10;30,00;30,40;961,20;45,52;27,00;60,00
31,11;39,95;962,03;29,79;960,36;30,70;32,33;51,10;30,00;30,40;961,20;45,52;27,00;60,00
31,13;39,96;962,04;29,80;960,46;30,70;32,33;51,10;30,00;30,41;961,25;45,53;27,00;60,00
31,12;39,98;962,04;29,80;960,34;30,70;32,31;51,00;30,00;30,41;961,19;45,49;27,00;60,00
31,11;40,02;962,04;29,79;960,33;30,70;32,31;51,00;30,00;30,40;961,19;45,51;27,00;59,00
31,11;40,07;962,08;29,79;960,30;30,70;32,31;51,00;30,00;30,40;961,19;45,54;28,00;60,00
31,12;40,06;962,10;29,79;960,35;30,70;32,31;51,00;30,00;30,40;961,22;45,53;27,00;60,00
31,11;40,04;962,07;29,78;960,39;30,70;32,31;51,00;30,00;30,40;961,23;45,52;27,00;60,00
31,10;40,01;962,06;29,75;960,29;30,70;32,31;51,00;30,00;30,39;961,17;45,51;28,00;60,00
31,11;40,02;962,04;29,74;960,34;30,70;32,33;51,10;30,00;30,39;961,19;45,56;28,00;61,00
31,11;40,03;962,06;29,75;960,34;30,70;32,33;51,10;30,00;30,39;961,20;45,56;27,00;59,00
31,12;40,04;962,05;29,77;960,39;30,70;32,33;51,10;30,00;30,40;961,22;45,57;28,00;60,00
