BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
46,37;15,63;1004,91;43,34;1001,76;38,40;42,61;36,20;42,25;42,59;1003,34;25,91;3,00;57,00
46,34;15,61;1004,83;43,31;1001,69;38,40;42,61;36,20;42,25;42,58;1003,26;25,91;3,00;61,00
46,36;15,67;1004,97;43,30;1001,82;38,40;42,52;36,00;42,25;42,58;1003,40;25,84;3,00;57,00
46,33;15,62;1004,91;43,24;1001,73;38,40;42,52;36,00;42,25;42,56;1003,32;25,81;3,00;62,00
46,34;15,61;1004,95;43,25;1001,76;38,30;42,31;36,00;42,25;42,54;1003,35;25,81;3,00;60,00
46,39;15,58;1004,87;43,33;1001,77;38,30;42,31;36,00;42,25;42,57;1003,32;25,79;4,00;58,00
46,45;15,52;1004,89;43,42;1001,76;38,30;42,31;36,00;42,25;42,60;1003,33;25,76;3,00;63,00
46,44;15,52;1004,97;43,49;1001,79;38,30;42,31;36,00;42,25;42,62;1003,38;25,76;3,00;65,00
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
46,56;15,74;1005,05;43,55;1001,75;38,30;42,31;36,00;42,25;42,66;1003,40;25,87;3,00;58,00
46,61;15,66;1004,99;43,66;1001,77;38,30;42,31;36,00;42,25;42,71;1003,38;25,83;3,00;60,00
46,62;15,61;1004,98;43,68;1001,81;38,30;42,40;36,20;42,25;42,71;1003,40;25,90;4,00;60,00
46,62;15,40;1004,97;43,66;1001,86;38,30;42,40;36,20;42,25;42,71;1003,41;25,80;4,00;57,00
46,54;15,37;1004,90;43,47;1001,80;38,30;42,44;36,30;42,25;42,64;1003,35;25,84;3,00;60,00
46,46;15,45;1004,94;43,31;1001,93;38,30;42,44;36,30;42,25;42,58;1003,43;25,88;4,00;58,00
46,41;15,47;1004,93;43,21;1001,92;38,30;42,40;36,20;42,25;42,54;1003,43;25,84;4,00;61,00
46,40;15,48;1004,93;43,07;1001,79;38,30;42,40;36,20;42,25;42,51;1003,36;25,84;3,00;58,00
46,41;15,50;1004,93;43,08;1001,80;38,40;42,52;36,00;42,25;42,54;1003,37;25,75;3,00;58,00
46,37;15,54;1004,89;42,99;1001,85;38,40;42,52;36,00;42,25;42,50;1003,37;25,77;3,00;59,00
46,31;15,54;1004,91;42,86;1001,83;38,30;42,31;36,00;42,25;42,43;1003,37;25,77;4,00;59,00
46,31;15,56;1004,94;42,84;1002,17;38,30;42,31;36,00;42,25;42,42;1003,55;25,78;4,00;58,00
46,28;15,55;1004,97;42,69;1001,86;38,30;42,31;36,00;42,25;42,38;1003,42;25,78;3,00;58,00
