BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
30,32;51,53;95,56;29,37;95,32;29,50;33,15;66,60;29,50;29,67;95,44;59,07;97,00;58,00;3,00;2,00
30,32;51,91;95,56;29,34;95,32;29,50;33,15;66,60;29,50;29,67;95,44;59,25;97,00;59,00;5,00;3,00
30,32;51,61;95,56;29,35;95,32;29,50;33,11;66,40;29,50;29,67;95,44;59,01;97,00;59,00;9,00;5,00
30,33;51,63;95,56;29,34;95,31;29,50;33,11;66,40;29,50;29,67;95,44;59,01;97,00;60,00;12,00;7,00
30,34;51,71;95,56;29,35;95,31;29,50;33,19;66,80;29,50;29,67;95,44;59,25;97,00;58,00;16,00;10,00
30,35;51,89;95,56;29,35;95,31;29,50;33,19;66,80;29,50;29,67;95,44;59,34;97,00;59,00;18,00;12,00
30,35;52,15;95,57;29,36;95,31;29,50;33,23;67,00;29,50;29,68;95,44;59,57;97,00;59,00;20,00;15,00
30,36;53,15;95,56;29,37;95,31;29,50;33,23;67,00;29,50;29,68;95,44;60,08;97,00;59,00;21,00;18,00
30,36;53,89;95,56;29,39;95,32;29,50;33,33;67,50;29,50;29,69;95,44;60,69;97,00;57,00;22,00;20,00
30,36;54,00;95,56;29,37;95,31;29,50;33,33;67,50;29,50;29,68;95,44;60,75;98,00;58,00;23,00;21,00
30,36;54,25;95,56;29,37;95,32;29,50;33,64;69,00;29,50;29,68;95,44;61,62;97,00;59,00;23,00;23,00
30,35;53,40;95,56;29,34;95,31;29,50;33,64;69,00;29,50;29,67;95,44;61,20;97,00;59,00;23,00;23,00
30,35;53,06;95,56;29,35;95,32;29,50;33,81;69,80;29,50;29,67;95,44;61,43;93,00;58,00;24,00;24,00
30,36;52,97;95,56;29,34;95,32;29,50;33,81;69,80;29,50;29,68;95,44;61,39;97,00;59,00;24,00;25,00
30,36;52,95;95,56;29,36;95,32;29,50;33,74;69,50;29,50;29,68;95,44;61,23;97,00;59,00;24,00;25,00
30,36;53,00;95,56;29,34;95,31;29,50;33,74;69,50;29,50;29,68;95,44;61,25;97,00;58,00;24,00;26,00
30,36;53,28;95,56;29,35;95,32;29,50;33,62;68,90;29,50;29,68;95,44;61,09;97,00;58,00;24,00;26,00
30,36;53,50;95,56;29,34;95,31;29,50;33,62;68,90;29,50;29,67;95,44;61,20;98,00;59,00;24,00;26,00
30,37;53,72;95,56;29,35;95,31;29,50;33,58;68,70;29,50;29,68;95,44;61,21;97,00;59,00;24,00;26,00
30,37;53,90;95,56;29,36;95,31;29,50;33,58;68,70;29,50;29,68;95,44;61,30;98,00;59,00;24,00;26,00
30,37;54,19;95,56;29,34;95,31;29,60;33,80;68,70;29,50;29,70;95,44;61,45;98,00;60,00;23,00;26,00
30,36;53,87;95,56;29,34;95,31;29,60;33,80;68,70;29,50;29,70;95,44;61,28;98,00;56,00;23,00;26,00
