BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
28,54;48,81;96,51;27,37;60,44;28,20;30,19;63,60;27,75;27,97;78,48;56,21;65,00;59,00;7,00;6,00;127,20
28,54;48,81;96,51;27,36;60,44;28,20;30,19;63,60;27,75;27,96;78,47;56,21;60,00;59,00;7,00;6,00;72,80
28,54;49,01;96,51;27,38;60,45;28,20;30,15;63,30;27,75;27,97;78,48;56,16;80,00;59,00;7,00;6,00;127,20
28,54;49,06;96,51;27,38;60,45;28,20;30,15;63,30;27,75;27,97;78,48;56,18;81,00;59,00;7,00;6,00;72,80
28,53;49,06;96,51;27,37;60,44;28,20;30,15;63,30;27,75;27,96;78,48;56,18;81,00;59,00;7,00;6,00;100,00
28,53;48,96;96,51;27,36;60,44;28,20;30,14;63,20;27,75;27,96;78,47;56,08;80,00;59,00;7,00;6,00;127,10
28,53;48,83;96,51;27,37;60,44;28,20;30,14;63,20;27,75;27,96;78,48;56,02;80,00;59,00;7,00;6,00;72,90
28,53;48,70;96,51;27,37;60,44;28,20;30,14;63,20;27,75;27,96;78,48;55,95;65,00;59,00;7,00;6,00;127,20
28,54;48,65;96,51;27,38;60,45;28,20;30,14;63,20;27,75;27,97;78,48;55,93;65,00;59,00;7,00;6,00;72,80
28,54;48,60;96,51;27,36;60,44;28,20;30,13;63,10;27,75;27,96;78,47;55,85;64,00;59,00;7,00;6,00;127,20
28,54;48,56;96,51;27,37;60,44;28,20;30,13;63,10;27,75;27,97;78,47;55,83;64,00;58,00;7,00;6,00;72,80
28,53;48,57;96,51;27,37;60,44;28,20;30,13;63,10;27,75;27,96;78,48;55,84;64,00;59,00;7,00;6,00;100,10
28,53;48,54;96,51;27,38;60,45;28,20;30,10;62,90;27,75;27,97;78,48;55,72;64,00;59,00;7,00;6,00;127,00
28,54;48,55;96,51;27,38;60,45;28,20;30,10;62,90;27,75;27,97;78,48;55,73;64,00;59,00;7,00;6,00;72,90
28,53;48,55;96,51;27,38;60,45;28,20;30,08;62,70;27,75;27,97;78,48;55,63;64,00;59,00;7,00;6,00;127,10
28,53;48,54;96,51;27,38;60,45;28,20;30,08;62,70;27,75;27,96;78,48;55,62;64,00;59,00;7,00;6,00;72,90
28,53;48,51;96,51;27,38;60,45;28,20;30,07;62,60;27,75;27,96;78,48;55,55;61,00;59,00;7,00;6,00;127,20
28,53;48,47;96,51;27,37;60,44;28,20;30,07;62,60;27,75;27,96;78,48;55,54;61,00;59,00;7,00;6,00;72,80
28,53;48,44;96,51;27,38;60,45;28,20;30,05;62,50;27,75;27,97;78,48;55,47;61,00;58,00;7,00;6,00;127,20
28,53;48,40;96,51;27,38;60,45;28,20;30,05;62,50;27,75;27,97;78,48;55,45;60,00;59,00;7,00;6,00;72,80
28,53;48,42;96,51;27,38;60,45;28,20;30,05;62,50;27,75;27,97;78,48;55,46;59,00;59,00;7,00;6,00;100,00
28,54;48,40;96,51;27,39;60,46;28,20;30,04;62,40;27,75;27,97;78,48;55,40;73,00;59,00;7,00;6,00;127,10
28,54;48,37;96,51;27,37;60,44;28,20;30,04;62,40;27,75;27,97;78,47;55,39;77,00;59,00;7,00;6,00;72,90
28,53;48,33;96,51;27,36;60,44;28,20;30,03;62,30;27,75;27,96;78,47;55,31;79,00;58,00;7,00;6,00;127,20
28,54;48,28;96,50;27,37;60,44;28,20;30,03;62,30;27,75;27,97;78,47;55,29;79,00;59,00;7,00;6,00;72,80
28,53;48,25;96,51;27,37;60,44;28,20;30,02;62,20;27,75;27,96;78,48;55,22;75,00;58,00;7,00;6,00;127,20
28,54;48,20;96,50;27,36;60,44;28,20;30,02;62,20;27,75;27,96;78,47;55,20;77,00;58,00;7,00;6,00;72,80
28,53;48,26;96,51;27,35;60,43;28,20;30,02;62,20;27,75;27,96;78,47;55,23;79,00;58,00;7,00;6,00;100,10
28,54;48,28;96,51;27,36;60,44;28,20;30,00;62,10;27,75;27,96;78,47;55,19;78,00;59,00;7,00;6,00;127,00
28,54;48,30;96,51;27,36;60,44;28,20;30,00;62,10;27,75;27,96;78,47;55,20;78,00;59,00;7,00;6,00;72,90
28,54;48,32;96,51;27,36;60,44;28,20;29,99;62,00;27,75;27,96;78,48;55,16;78,00;59,00;7,00;6,00;127,10
28,54;48,30;96,51;27,37;60,44;28,20;29,99;62,00;27,75;27,97;78,48;55,15;78,00;59,00;7,00;6,00;72,90
28,54;48,29;96,51;27,37;60,44;28,20;29,99;62,00;27,75;27,97;78,48;55,15;78,00;59,00;7,00;6,00;127,20
28,54;48,42;96,51;27,36;60,44;28,20;29,99;62,00;27,75;27,96;78,47;55,21;77,00;58,00;7,00;6,00;72,80
28,54;48,61;96,51;27,36;60,44;28,20;29,99;62,00;27,75;27,96;78,47;55,30;78,00;59,00;7,00;6,00;127,20
28,54;48,65;96,50;27,38;60,45;28,20;29,99;62,00;27,75;27,97;78,47;55,33;78,00;59,00;7,00;6,00;72,80
28,54;48,61;96,51;27,38;60,45;28,20;29,99;62,00;27,75;27,97;78,48;55,30;78,00;59,00;7,00;6,00;100,00
28,53;48,55;96,51;27,38;60,45;28,20;30,00;62,10;27,75;27,97;78,48;55,33;77,00;58,00;7,00;6,00;127,10
28,54;48,49;96,51;27,36;60,44;28,20;30,00;62,10;27,75;27,96;78,47;55,30;77,00;59,00;7,00;6,00;72,90
28,54;48,45;96,50;27,36;60,44;28,20;30,02;62,20;27,75;27,96;78,47;55,32;78,00;59,00;7,00;6,00;127,20
28,54;48,39;96,51;27,36;60,44;28,20;30,02;62,20;27,75;27,96;78,47;55,30;78,00;58,00;7,00;6,00;72,80
28,53;48,35;96,50;27,35;60,43;28,20;30,02;62,20;27,75;27,96;78,47;55,27;77,00;58,00;7,00;6,00;127,20
28,53;48,31;96,51;27,34;60,42;28,20;30,02;62,20;27,75;27,95;78,46;55,26;78,00;59,00;7,00;6,00;72,80
28,53;48,30;96,51;27,35;60,43;28,20;30,02;62,20;27,75;27,96;78,47;55,25;77,00;59,00;7,00;6,00;100,10
28,54;48,28;96,51;27,35;60,43;28,20;30,02;62,20;27,75;27,96;78,47;55,24;78,00;59,00;7,00;6,00;127,00
28,53;48,26;96,51;27,35;60,43;28,20;30,02;62,20;27,75;27,96;78,47;55,23;78,00;59,00;7,00;6,00;72,90
28,54;48,25;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,17;78,00;59,00;7,00;6,00;127,10
28,53;48,25;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,17;77,00;58,00;7,00;6,00;72,90
28,54;48,25;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,17;78,00;58,00;7,00;6,00;127,20
28,54;48,24;96,51;27,36;60,44;28,20;30,00;62,10;27,75;27,96;78,47;55,17;77,00;59,00;7,00;6,00;72,80
28,54;48,24;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,17;78,00;59,00;7,00;6,00;127,20
28,54;48,23;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;78,00;59,00;7,00;6,00;72,80
28,54;48,22;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;78,00;59,00;7,00;6,00;100,00
28,54;48,21;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;77,00;58,00;7,00;6,00;127,10
28,54;48,21;96,51;27,34;60,42;28,20;30,00;62,10;27,75;27,96;78,46;55,16;77,00;59,00;7,00;6,00;72,90
28,54;48,21;96,51;27,34;60,42;28,20;30,00;62,10;27,75;27,96;78,46;55,16;78,00;59,00;7,00;6,00;127,20
28,54;48,21;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;78,00;58,00;6,00;6,00;72,80
28,54;48,21;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;77,00;59,00;7,00;6,00;127,20
28,54;48,21;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,16;77,00;59,00;7,00;6,00;72,80
28,53;48,20;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,15;77,00;59,00;7,00;6,00;100,10
28,54;48,20;96,51;27,35;60,43;28,20;30,00;62,10;27,75;27,96;78,47;55,15;78,00;58,00;7,00;6,00;127,00
28,54;48,19;96,51;27,34;60,42;28,20;30,00;62,10;27,75;27,96;78,47;55,15;78,00;59,00;7,00;6,00;72,90
28,54;48,11;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,06;77,00;58,00;7,00;6,00;127,10
28,54;48,18;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,09;77,00;58,00;7,00;6,00;72,90
28,54;48,17;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,08;77,00;59,00;7,00;6,00;127,20
28,54;48,15;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,47;55,07;77,00;59,00;7,00;6,00;72,80
28,54;48,13;96,50;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,07;77,00;59,00;7,00;6,00;127,20
28,54;48,13;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,07;78,00;59,00;7,00;6,00;72,80
28,54;48,12;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,06;78,00;58,00;7,00;6,00;100,00
28,54;48,12;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,06;77,00;59,00;7,00;6,00;127,10
28,54;48,11;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,06;77,00;58,00;7,00;6,00;72,90
28,54;48,09;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,47;55,04;78,00;59,00;7,00;6,00;127,20
28,54;48,08;96,51;27,36;60,44;28,20;29,99;62,00;27,75;27,96;78,47;55,04;77,00;59,00;7,00;6,00;72,80
28,54;48,10;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,05;77,00;59,00;7,00;6,00;127,20
28,54;48,06;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,03;78,00;59,00;7,00;6,00;72,80
28,54;48,05;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,03;77,00;58,00;7,00;6,00;100,10
28,53;48,07;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,03;77,00;58,00;7,00;6,00;127,00
28,54;48,07;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,03;77,00;58,00;7,00;6,00;72,90
28,54;48,08;96,51;27,34;60,42;28,20;29,98;61,90;27,75;27,96;78,46;54,99;78,00;59,00;7,00;6,00;127,10
28,54;48,08;96,51;27,35;60,43;28,20;29,98;61,90;27,75;27,96;78,47;54,99;78,00;58,00;7,00;6,00;72,90
28,54;48,09;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,04;77,00;58,00;7,00;6,00;127,20
28,54;48,09;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,47;55,04;78,00;59,00;7,00;6,00;72,80
28,54;48,09;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,04;78,00;59,00;7,00;6,00;127,20
28,54;48,09;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,04;78,00;59,00;7,00;6,00;72,80
28,53;48,09;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,04;78,00;59,00;7,00;6,00;100,00
28,54;48,11;96,50;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,06;70,00;59,00;7,00;6,00;127,10
28,54;48,12;96,52;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,47;55,06;65,00;59,00;6,00;6,00;72,90
28,54;48,12;96,51;27,35;60,43;28,20;29,99;62,00;27,75;27,96;78,47;55,06;63,00;58,00;7,00;6,00;127,20
28,54;48,12;96,51;27,33;60,41;28,20;29,99;62,00;27,75;27,95;78,46;55,06;64,00;59,00;7,00;6,00;72,80
28,54;48,18;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,96;78,46;55,09;59,00;59,00;7,00;6,00;127,20
28,53;48,25;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,95;78,46;55,12;65,00;59,00;7,00;6,00;72,80
28,52;48,22;96,51;27,34;60,42;28,20;29,99;62,00;27,75;27,95;78,46;55,11;62,00;59,00;7,00;6,00;100,10
28,52;48,32;96,51;27,31;60,40;28,20;29,99;62,00;27,75;27,95;78,46;55,16;59,00;59,00;7,00;6,00;127,00
28,53;48,45;96,51;27,32;60,41;28,20;29,99;62,00;27,75;27,95;78,46;55,22;59,00;59,00;7,00;6,00;72,90
28,53;48,46;96,51;27,32;60,41;28,20;30,00;62,10;27,75;27,95;78,46;55,28;75,00;59,00;7,00;6,00;127,10
28,53;48,49;96,51;27,33;60,41;28,20;30,00;62,10;27,75;27,95;78,46;55,30;80,00;59,00;7,00;6,00;72,90
28,53;49,16;96,50;27,32;60,41;28,20;30,02;62,20;27,75;27,95;78,45;55,68;68,00;59,00;7,00;6,00;127,20
28,53;49,07;96,51;27,32;60,41;28,20;30,02;62,20;27,75;27,95;78,46;55,63;71,00;59,00;7,00;6,00;72,80
28,53;48,91;96,51;27,33;60,41;28,20;30,05;62,50;27,75;27,95;78,46;55,71;74,00;59,00;7,00;6,00;127,20
