BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
25,13;57,22;981,37;24,17;979,70;24,00;24,28;70,00;24,25;24,39;980,53;63,61;47,00;60,00
25,14;57,32;981,33;24,19;979,77;24,00;24,28;70,00;24,25;24,40;980,55;63,66;47,00;60,00
25,16;57,73;981,36;24,20;979,76;23,90;24,18;70,10;24,25;24,38;980,56;63,92;62,00;60,00
25,19;58,94;981,37;24,22;979,74;23,90;24,18;70,10;24,25;24,39;980,56;64,52;63,00;60,00
25,20;59,59;981,41;24,25;979,71;24,00;24,30;70,70;24,25;24,43;980,56;65,14;63,00;60,00
25,29;61,77;981,40;24,38;979,74;24,00;24,30;70,70;24,25;24,48;980,57;66,24;63,00;60,00
25,28;62,12;981,42;24,36;979,73;24,00;24,34;72,30;24,25;24,47;980,58;67,21;63,00;60,00
25,31;62,84;981,40;24,38;979,75;24,00;24,34;72,30;24,25;24,48;980,58;67,57;63,00;60,00
25,30;62,34;981,43;24,35;979,73;24,00;24,42;75,10;24,25;24,48;980,58;68,72;63,00;60,00
25,32;61,84;981,38;24,38;979,82;24,00;24,42;75,10;24,25;24,49;980,60;68,47;63,00;61,00
25,34;61,70;981,39;24,39;979,80;24,00;24,47;77,00;24,25;24,49;980,59;69,35;63,00;60,00
25,34;61,81;981,39;24,39;979,75;24,00;24,47;77,00;24,25;24,49;980,57;69,41;63,00;60,00
25,35;61,95;981,39;24,39;979,69;24,00;24,48;77,60;24,25;24,50;980,54;69,77;63,00;60,00
25,36;62,04;981,36;24,40;979,69;24,00;24,48;77,60;24,25;24,50;980,52;69,82;63,00;60,00
25,37;61,93;981,36;24,42;979,73;24,10;24,59;77,70;24,25;24,53;980,54;69,81;63,00;60,00
25,37;61,77;981,44;24,41;979,68;24,10;24,59;77,70;24,25;24,53;980,56;69,74;63,00;60,00
25,39;61,73;981,39;24,44;979,74;24,00;24,48;77,40;24,25;24,52;980,57;69,57;65,00;60,00
25,40;61,84;981,39;24,45;979,77;24,00;24,48;77,40;24,25;24,53;980,58;69,62;66,00;60,00
25,41;61,94;981,37;24,46;979,76;24,10;24,58;77,10;24,25;24,55;980,57;69,52;64,00;60,00
25,42;61,88;981,38;24,47;979,78;24,10;24,58;77,10;24,25;24,56;980,58;69,49;64,00;60,00
25,42;61,89;981,35;24,48;979,79;24,10;24,58;77,00;24,25;24,56;980,57;69,44;64,00;60,00
25,43;61,96;981,39;24,50;979,76;24,10;24,58;77,00;24,25;24,57;980,58;69,48;64,00;60,00
25,44;61,88;981,40;24,48;979,72;24,10;24,57;76,80;24,25;24,57;980,56;69,34;64,00;60,00
25,44;61,80;981,38;24,50;979,71;24,10;24,57;76,80;24,25;24,57;980,55;69,30;65,00;60,00
25,45;61,78;981,41;24,52;979,77;24,10;24,57;76,70;24,25;24,58;980,59;69,24;64,00;60,00
