Value;Average
8604888;8604888;1032;1032
8835226;8720057;1032;1032
8835237;8758450;1032;1032
8839012;8778590;1031;1031
8834859;8789844;1031;1031
8834278;8797250;1027;1030
8833192;8802384;1027;1030
8833177;8806233;1027;1029
8833179;8809227;1027;1029
8833162;8811621;1027;1029
8833173;8813580;1027;1029
8833168;8815212;1027;1028
8833177;8816594;1027;1028
8833184;8817779;1027;1028
8833165;8818805;1027;1028
8833172;8819703;1027;1028
8833174;8820495;1027;1028
8833179;8821200;1027;1028
8833189;8821831;1027;1028
8833178;8822398;1027;1028
8833177;8822911;1027;1028
8833179;8823378;1027;1028
8833184;8823804;1027;1028
8833182;8824195;1027;1027
8833187;8824555;1027;1027
8833177;8824886;1027;1027
8833186;8825194;1027;1027
8833156;8825478;1027;1027
8833182;8825744;1027;1027
8833178;8825991;1027;1027
8833181;8826223;1027;1027
8833179;8826441;1027;-1020
8833207;8826646;1027;-958
8833200;8826838;1027;-899
8833206;8827020;1027;-844
8833198;8827192;1027;-792
8833207;8827355;1027;-743
8833198;8827508;1027;-697
8833208;8827654;1027;-652
8833200;8827793;1027;-610
8833195;8827925;1027;-570
8833211;8828051;1027;-532
8833202;8828170;1027;-496
8833208;8828285;1027;-461
8833210;8828394;1027;-428
8833192;8828499;1027;-397
8833217;8828599;1027;-366
8833206;8828695;1027;-337
8833208;8828787;1027;-310
8833214;8828876;1027;-283
8833212;8828961;1027;-257
8833202;8829042;1027;-232
8833204;8829121;1027;-209
8833195;8829196;1027;-186
8833200;8829269;1027;-164
8833206;8829339;1027;-142
8833201;8829407;1027;-122
8833201;8829472;1027;-102
8833203;8829536;1027;-83
8833197;8829597;1027;-64
8833189;8829655;1027;-46
8833180;8829712;1027;-29
8833184;8829767;1027;-12
8833191;8829821;1027;3
8833192;8829873;1027;19
8833170;8829923;1027;34
8833192;8829971;1027;49
8833194;8830019;1027;63
8833190;8830065;1027;77
8833189;8830109;1027;91
8833189;8830153;1027;104
8833183;8830195;1027;117
8833193;8830236;1027;129
8833191;8830276;1027;141
8833193;8830315;1027;153
8833195;8830353;1027;164
8833192;8830390;1027;176
8833187;8830425;1027;187
8833184;8830460;1027;197
8833176;8830494;1027;208
8833199;8830528;1027;218
8833185;8830560;1027;228
8833191;8830592;1027;237
8833179;8830623;1027;247
8833173;8830653;1027;256
8833190;8830682;1027;265
8833191;8830711;1027;273
8833179;8830739;1027;282
8833178;8830766;1027;290
8833179;8830793;1027;299
8833184;8830819;1027;307
8833173;8830845;1027;314
8833176;8830870;1027;322
8833177;8830895;1027;330
8833172;8830919;1027;337
8833172;8830942;1027;-338
8833166;8830965;1027;-324
8833175;8830987;1027;-310
8833167;8831009;1027;-296
8833174;8831031;1027;-283
8833172;8831052;1027;-270
8833180;8831073;1027;-257
8833187;8831094;1027;-245
8833173;8831114;1027;-233
8833167;8831133;1027;-221
8833175;8831152;1027;-209
8833181;8831171;1027;-197
8833184;8831190;1027;-186
8833177;8831208;1027;-175
8833167;8831226;1027;-164
8833183;8831244;1027;-153
8833165;8831261;1027;-143
8833176;8831278;1027;-132
8833169;8831294;1027;-122
8833164;8831311;1027;-112
8833159;8831327;1027;-102
8833166;8831342;1027;-93
8833168;8831358;1027;-83
8833158;8831373;1027;-74
8833164;8831388;1027;-65
8833162;8831402;1027;-56
8833169;8831417;1027;-47
8833162;8831431;1027;-38
8833154;8831445;1027;-29
8833152;8831459;1027;-21
8833160;8831472;1027;-13
8833155;8831485;1027;-4
8833168;8831499;1027;3
8833156;8831511;1027;11
8833148;8831524;1027;18
8833142;8831536;1027;26
8833147;8831549;1027;34
8833146;8831561;1027;41
8833152;8831572;1027;49
8833158;8831584;1027;56
8833148;8831596;1027;63
8833148;8831607;1027;70
8833149;8831618;1027;77
8833164;8831629;1027;84
8833149;8831640;1027;90
8833155;8831651;1027;97
8833148;8831661;1027;104
8833152;8831672;1027;110
8833154;8831682;1027;116
8833138;8831692;1027;123
8833144;8831702;1027;129
8833140;8831712;1027;135
8833146;8831722;1027;141
8834711;8831742;1031;147
8834830;8831762;1031;153
8834859;8831783;1031;159
8834836;8831803;1031;164
8834847;8831823;1031;170
8834850;8831842;1031;176
8834850;8831862;1031;181
8834843;8831881;1031;187
8834832;8831900;1031;192
8834842;8831918;1031;197
