BME280_Temperature;BME280_Humidity;BME280_Airpressure;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135;
28,56;30,61;97,00;28,25;28,02;78,97;39,11;99,00;60,00;2,00;3,00;27,20;27,45;47,60;28,08;60,94;127,00
28,53;30,62;97,01;28,25;27,99;78,94;39,11;99,00;60,00;2,00;3,00;27,20;27,45;47,60;27,99;60,88;72,90
28,47;30,59;97,01;28,25;27,96;78,92;39,00;99,00;60,00;2,00;3,00;27,20;27,44;47,40;27,92;60,83;127,10
28,45;30,52;97,00;28,25;27,94;78,89;38,96;99,00;61,00;2,00;3,00;27,20;27,44;47,40;27,84;60,77;72,90
28,44;30,51;97,00;28,25;27,91;78,86;38,91;99,00;60,00;2,00;3,00;27,20;27,43;47,30;27,77;60,72;127,20
28,42;30,49;97,02;28,25;27,90;78,85;38,89;100,00;60,00;2,00;3,00;27,20;27,43;47,30;27,72;60,69;72,80
28,56;30,43;97,02;28,25;27,78;78,64;38,82;100,00;60,00;1,00;2,00;27,20;27,43;47,20;27,11;60,26;127,20
28,65;30,39;97,02;28,25;27,84;78,70;38,80;100,00;60,00;1,00;2,00;27,20;27,43;47,20;27,27;60,37;72,80
28,71;30,36;97,02;28,25;27,89;78,74;38,78;100,00;61,00;1,00;2,00;27,20;27,43;47,20;27,39;60,46;100,00
28,78;30,31;97,02;28,25;27,93;78,78;38,70;100,00;60,00;1,00;2,00;27,20;27,42;47,10;27,50;60,53;127,10
28,86;30,26;97,03;28,25;27,97;78,80;38,68;100,00;60,00;1,00;2,00;27,20;27,42;47,10;27,57;60,58;72,90
28,93;30,21;97,02;28,25;28,03;78,82;38,60;100,00;61,00;1,00;2,00;27,30;27,51;47,00;27,63;60,63;127,20
29,00;30,15;97,02;28,25;28,06;78,85;38,58;100,00;60,00;1,00;2,00;27,30;27,51;47,00;27,70;60,68;72,80
29,06;30,11;97,02;28,25;28,10;78,88;38,56;100,00;60,00;1,00;2,00;27,30;27,51;47,00;27,79;60,74;127,20
29,13;30,05;97,02;28,25;28,14;78,92;38,52;100,00;61,00;1,00;2,00;27,30;27,51;47,00;27,90;60,81;72,80
29,19;29,99;97,02;28,25;28,18;78,95;38,49;100,00;60,00;1,00;2,00;27,30;27,51;47,00;27,98;60,87;100,10
29,26;29,94;97,02;28,25;28,21;78,97;38,42;100,00;61,00;1,00;2,00;27,30;27,50;46,90;28,04;60,91;127,00
29,32;29,91;97,02;28,25;28,25;78,99;38,41;100,00;61,00;1,00;2,00;27,30;27,50;46,90;28,11;60,96;72,90
29,38;29,83;97,02;28,25;28,30;79,01;38,41;100,00;61,00;1,00;2,00;27,40;27,60;47,00;28,16;61,00;127,10
29,41;29,76;97,02;28,25;28,33;79,04;38,38;100,00;60,00;1,00;2,00;27,40;27,60;47,00;28,25;61,05;72,90
29,44;29,72;97,02;28,25;28,33;79,04;38,36;100,00;60,00;1,00;2,00;27,40;27,60;47,00;28,24;61,05;127,20
29,56;29,67;97,02;28,25;28,38;79,06;38,33;100,00;60,00;1,00;2,00;27,40;27,60;47,00;28,32;61,11;72,80
29,62;29,65;97,03;28,25;28,44;79,09;38,33;100,00;60,00;1,00;2,00;27,50;27,69;47,00;28,39;61,16;127,20
29,68;29,64;97,02;28,25;28,48;79,12;38,32;100,00;61,00;1,00;2,00;27,50;27,69;47,00;28,50;61,23;72,80
