BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
28,33;53,05;96,50;27,20;60,33;28,20;30,35;64,80;27,50;27,81;78,41;58,93;63,00;59,00;7,00;6,00;72,90
28,33;53,37;96,51;27,21;60,33;28,20;30,39;65,10;27,50;27,81;78,42;59,23;62,00;59,00;7,00;6,00;127,10
28,33;53,15;96,51;27,21;60,33;28,20;30,39;65,10;27,50;27,81;78,42;59,13;62,00;59,00;7,00;7,00;72,90
28,33;52,79;96,51;27,21;60,33;28,20;30,45;65,60;27,50;27,81;78,42;59,20;63,00;59,00;7,00;6,00;127,20
28,33;52,86;96,51;27,20;60,32;28,20;30,45;65,60;27,50;27,81;78,41;59,23;62,00;59,00;7,00;6,00;72,80
28,34;52,62;96,50;27,21;60,33;28,20;30,51;66,00;27,50;27,81;78,42;59,31;63,00;59,00;7,00;6,00;127,20
28,34;52,44;96,51;27,21;60,33;28,20;30,51;66,00;27,50;27,81;78,42;59,22;63,00;59,00;7,00;6,00;72,80
28,34;52,78;96,51;27,21;60,33;28,20;30,51;66,00;27,75;27,88;78,42;59,39;62,00;59,00;7,00;6,00;100,10
28,34;52,67;96,51;27,21;60,33;28,20;30,55;66,30;27,75;27,87;78,42;59,48;62,00;59,00;7,00;6,00;127,00
28,34;52,18;96,51;27,20;60,33;28,20;30,55;66,30;27,75;27,87;78,42;59,24;62,00;59,00;7,00;6,00;72,90
28,35;51,73;96,50;27,20;60,32;28,20;30,55;66,30;27,75;27,87;78,41;59,01;62,00;59,00;7,00;6,00;127,10
28,35;51,76;96,50;27,21;60,33;28,20;30,55;66,30;27,75;27,88;78,42;59,03;61,00;59,00;7,00;6,00;72,90
28,35;52,05;96,50;27,22;60,34;28,20;30,52;66,10;27,75;27,88;78,42;59,08;62,00;59,00;7,00;6,00;127,20
28,36;52,33;96,50;27,21;60,33;28,20;30,52;66,10;27,75;27,88;78,42;59,22;62,00;59,00;7,00;6,00;72,80
28,36;52,57;96,51;27,22;60,34;28,20;30,49;65,90;27,75;27,88;78,42;59,24;62,00;59,00;7,00;6,00;127,20
28,37;52,73;96,51;27,22;60,34;28,20;30,49;65,90;27,75;27,89;78,42;59,31;63,00;59,00;7,00;6,00;72,80
28,36;52,36;96,50;27,23;60,35;28,20;30,49;65,90;27,75;27,89;78,42;59,13;77,00;59,00;7,00;6,00;100,00
28,36;52,01;96,51;27,22;60,34;28,20;30,51;66,00;27,75;27,88;78,42;59,00;65,00;59,00;7,00;6,00;127,10
28,36;51,69;96,51;27,22;60,34;28,20;30,51;66,00;27,75;27,88;78,42;58,85;66,00;59,00;7,00;6,00;72,90
28,37;51,76;96,51;27,22;60,34;28,20;30,48;65,80;27,75;27,89;78,42;58,78;66,00;58,00;7,00;6,00;127,20
